ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
1473677736178283_1889733187906067;hello;4;104;3;;2017-04-25T01:45:58+0000
1473677736178283_1887830834762969;hello;7;127;4;;2017-04-21T03:00:46+0000
1473677736178283_1886283604917692;hello;14;150;7;;2017-04-18T04:26:12+0000
1473677736178283_1886271628252223;;1;125;0;;2017-04-18T02:50:51+0000
1473677736178283_1883770991835620;hello;2;94;1;;2017-04-13T20:12:19+0000
1473677736178283_1880654598813926;hello;;38;0;;2017-04-13T01:00:00+0000
1473677736178283_1880519522160767;hello;132;3304;86;;2017-04-07T01:38:15+0000
1473677736178283_1877289139150472;hello;20;206;1;;2017-04-01T12:40:12+0000
1473677736178283_1877282289151157;hello;23;278;5;"[{""name""=>""Length"", ""text""=>""10:04""}]";2017-04-01T12:16:50+0000
1473677736178283_1877264139152972;hello;11;154;1;"[{""name""=>""Length"", ""text""=>""09:43""}]";2017-04-01T11:26:27+0000
1473677736178283_1877097685836284;hello;59;6696;58;;2017-04-01T09:00:00+0000
1473677736178283_1874984529380933;hello;;78;0;;2017-03-28T01:50:53+0000
1473677736178283_1873205146225538;hello;28;172;2;;2017-03-24T08:44:13+0000
1473677736178283_1871719516374101;hello;92;4765;65;;2017-03-21T03:02:37+0000
1473677736178283_1870879539791432;hello;2;59;0;"[{""name""=>""Length"", ""text""=>""03:31""}]";2017-03-19T08:38:47+0000
1473677736178283_1870806466465406;hello;1;49;1;"[{""name""=>""Length"", ""text""=>""05:12""}]";2017-03-19T05:10:35+0000
1473677736178283_1870765683136151;;9;354;5;;2017-03-19T02:40:02+0000
1473677736178283_1870394089839977;;3;202;0;;2017-03-18T07:41:22+0000
1473677736178283_1870015119877874;;3;238;3;;2017-03-17T12:37:01+0000
1473677736178283_1870764789802907;;2;186;1;;2017-03-17T11:04:46+0000
1473677736178283_1869953713217348;hello;10;84;1;;2017-03-17T08:47:17+0000
1473677736178283_1869879613224758;;12;395;2;;2017-03-17T03:11:05+0000
1473677736178283_1869876189891767;hello;4;92;3;;2017-03-17T02:54:18+0000
1473677736178283_1869012139978172;hello;3;64;0;;2017-03-15T07:43:10+0000
1473677736178283_1866484426897610;hello;18;854;9;;2017-03-10T05:54:50+0000
1473677736178283_1864946003718119;hello;2;40;1;;2017-03-08T01:15:57+0000
1473677736178283_1861477264064993;hello;204;8780;48;;2017-03-03T07:35:11+0000
1473677736178283_1861336750745711;hello;3;89;0;;2017-03-03T01:39:00+0000
1473677736178283_1859737890905597;hello;;100;3;;2017-02-27T06:58:21+0000
1473677736178283_1859292414283478;hello;1;88;2;;2017-02-26T10:41:46+0000
1473677736178283_1859278194284900;hello;9;142;2;"[{""name""=>""Length"", ""text""=>""12:49""}]";2017-02-26T09:55:38+0000
1473677736178283_1859244964288223;hello;3;41;0;"[{""name""=>""Length"", ""text""=>""04:13""}]";2017-02-26T07:35:21+0000
1473677736178283_1859240314288688;hello;1;165;1;;2017-02-26T07:12:01+0000
1473677736178283_1859189597627093;hello;7;91;0;;2017-02-26T03:45:02+0000
1473677736178283_1858955420983844;hello;;111;1;;2017-02-25T14:28:42+0000
1473677736178283_1858842984328421;hello;;57;0;;2017-02-25T07:53:37+0000
1473677736178283_1858838554328864;hello;8;173;2;;2017-02-25T07:34:48+0000
1473677736178283_1858794694333250;hello;8;177;1;"[{""name""=>""Length"", ""text""=>""05:19""}]";2017-02-25T04:14:53+0000
1473677736178283_1858786341000752;hello;14;321;10;"[{""name""=>""Length"", ""text""=>""06:30""}]";2017-02-25T03:44:07+0000
1473677736178283_1858420091037377;hello;27;347;1;;2017-02-24T10:54:46+0000
1473677736178283_1856911641188222;;36;687;13;;2017-02-21T03:37:24+0000
1473677736178283_1856889941190392;hello;20;357;4;;2017-02-21T02:34:02+0000
1473677736178283_1856575887888464;;7;355;2;;2017-02-20T09:56:48+0000
1473677736178283_1856411297904923;hello;28;268;22;"[{""name""=>""Length"", ""text""=>""00:34""}]";2017-02-20T01:05:21+0000
1473677736178283_1855567307989322;;4;119;2;"[{""name""=>""Length"", ""text""=>""04:16""}]";2017-02-18T12:36:06+0000
1473677736178283_1855560124656707;;6;113;2;"[{""name""=>""Length"", ""text""=>""06:14""}]";2017-02-18T12:13:36+0000
1473677736178283_1855547531324633;hello;179;1769;51;"[{""name""=>""Length"", ""text""=>""01:56""}]";2017-02-18T11:48:02+0000
1473677736178283_1855542364658483;;2;134;2;"[{""name""=>""Length"", ""text""=>""21:59""}]";2017-02-18T11:38:14+0000
1473677736178283_1855542591325127;;1;93;4;"[{""name""=>""Length"", ""text""=>""05:58""}]";2017-02-18T11:38:01+0000
1473677736178283_1855537064659013;hello;3;46;0;"[{""name""=>""Length"", ""text""=>""07:40""}]";2017-02-18T11:27:26+0000
