ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
188186581192773_1535722139772537;hello;2;55;15;"[{""name""=>""Length"", ""text""=>""01:52""}]";2017-04-11T07:22:17+0000
188186581192773_1530505386960879;hello;3;55;6;;2017-04-06T05:24:35+0000
188186581192773_1506782062666545;hello;77;696;55;;2017-03-14T04:00:11+0000
188186581192773_1498634196814665;hello;6707;30137;516;"[{""name""=>""Length"", ""text""=>""01:41""}]";2017-03-09T01:54:21+0000
188186581192773_1474983692513049;hello;4099;19980;343;"[{""name""=>""Length"", ""text""=>""01:05""}]";2017-02-15T08:15:44+0000
188186581192773_1439398986071520;hello;105;1004;69;;2017-01-13T03:50:15+0000
188186581192773_1436207546390664;hello;99;894;57;;2017-01-11T05:56:19+0000
188186581192773_1431328140211938;hello;150;367;28;"[{""name""=>""Length"", ""text""=>""01:08""}]";2017-01-05T07:02:51+0000
188186581192773_1431262130218539;hello;46;221;18;"[{""name""=>""Length"", ""text""=>""02:36""}]";2017-01-05T04:00:16+0000
188186581192773_1419138191430933;hello;10;87;24;;2016-12-26T02:35:58+0000
188186581192773_1381546398523446;hello;22;181;39;"[{""name""=>""Length"", ""text""=>""06:39""}]";2016-11-28T02:41:58+0000
188186581192773_1374338155910937;hello;38;193;34;"[{""name""=>""Length"", ""text""=>""06:01""}]";2016-11-21T02:13:45+0000
188186581192773_1360176743993745;hello;45;203;44;"[{""name""=>""Length"", ""text""=>""01:47""}]";2016-11-07T02:00:04+0000
188186581192773_1354750804536339;hello;68;259;34;"[{""name""=>""Length"", ""text""=>""03:46""}]";2016-11-01T03:02:59+0000
188186581192773_1343283789016374;hello;73;230;34;"[{""name""=>""Length"", ""text""=>""03:44""}]";2016-10-20T06:47:05+0000
188186581192773_1342385382439548;hello;1484;12884;198;"[{""name""=>""Length"", ""text""=>""01:43""}]";2016-10-19T08:41:33+0000
188186581192773_1341173322560754;hello;13;142;9;"[{""name""=>""Length"", ""text""=>""01:37""}]";2016-10-18T03:07:34+0000
188186581192773_1336798716331548;hello;105;322;33;"[{""name""=>""Length"", ""text""=>""00:31""}]";2016-10-14T02:39:02+0000
188186581192773_1334903586521061;hello;291;638;39;"[{""name""=>""Length"", ""text""=>""01:53""}]";2016-10-12T06:03:45+0000
188186581192773_1334775353200551;hello;6;112;8;"[{""name""=>""Length"", ""text""=>""01:49""}]";2016-10-12T02:04:52+0000
188186581192773_1330301800314573;hello;21;147;17;"[{""name""=>""Length"", ""text""=>""00:35""}]";2016-10-07T05:38:48+0000
188186581192773_1330174343660652;hello;12;108;7;"[{""name""=>""Length"", ""text""=>""02:06""}]";2016-10-07T01:56:49+0000
188186581192773_1327418393936247;hello;390;2156;99;;2016-10-04T02:50:31+0000
188186581192773_1321625021182251;hello;7;125;15;"[{""name""=>""Length"", ""text""=>""00:21""}]";2016-09-28T01:44:47+0000
188186581192773_1309656059045814;hello;22;145;38;"[{""name""=>""Length"", ""text""=>""01:49""}]";2016-09-14T07:03:35+0000
