ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
229617287171186_1019862564813317;hello;5;106;0;;2017-04-25T12:22:44+0000
229617287171186_1018691491597091;hello;46;381;2;;2017-04-24T01:00:00+0000
229617287171186_1018388854960688;hello;17;118;1;;2017-04-23T09:19:40+0000
229617287171186_1017731001693140;hello;31;220;0;;2017-04-22T09:31:58+0000
229617287171186_1016868455112728;hello;16;156;0;;2017-04-21T03:05:00+0000
229617287171186_1016347601831480;hello;50;576;1;;2017-04-20T09:17:03+0000
229617287171186_1016303008502606;hello;3;54;1;;2017-04-20T08:00:00+0000
229617287171186_1016264458506461;hello;78;511;12;;2017-04-20T05:41:40+0000
229617287171186_1015638981902342;hello;7;48;0;;2017-04-19T11:23:31+0000
229617287171186_1017005015099072;hello;7;151;0;;2017-04-18T09:30:00+0000
229617287171186_1013810292085211;hello;20;201;4;;2017-04-17T09:02:40+0000
229617287171186_1013695212096719;hello;;87;0;;2017-04-17T05:01:48+0000
229617287171186_1012938295505744;hello;10;189;0;;2017-04-16T04:31:34+0000
229617287171186_1012380555561518;hello;18;260;0;;2017-04-15T10:38:22+0000
229617287171186_1012205788912328;hello;26;311;3;;2017-04-14T04:00:00+0000
229617287171186_1011425142323726;hello;483;1694;87;"[{""name""=>""Length"", ""text""=>""01:23""}]";2017-04-14T03:30:42+0000
229617287171186_1010568839076023;hello;;30;0;;2017-04-13T02:42:00+0000
229617287171186_1010565599076347;hello;1278;2519;176;"[{""name""=>""Length"", ""text""=>""03:08""}]";2017-04-13T02:00:00+0000
229617287171186_1010044222461818;hello;41;1258;8;;2017-04-12T10:33:22+0000
229617287171186_1009300445869529;hello;80;1625;13;;2017-04-11T09:58:03+0000
229617287171186_1009107589222148;hello;77;306;7;"[{""name""=>""Length"", ""text""=>""00:49""}]";2017-04-11T03:16:14+0000
229617287171186_1008573645942209;hello;;73;0;;2017-04-10T11:00:00+0000
229617287171186_1008568495942724;hello;22;438;0;;2017-04-10T10:31:18+0000
229617287171186_1007721919360715;hello;20;247;2;;2017-04-09T10:17:00+0000
229617287171186_1008492649283642;hello;9;141;4;;2017-04-08T04:00:00+0000
