ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
92125817020_10154367142782021;hello;9;100;17;;2017-04-24T07:09:05+0000
92125817020_10154356357797021;hello;213;2051;609;"[{""name""=>""Length"", ""text""=>""00:25""}]";2017-04-20T07:06:56+0000
92125817020_10154353661767021;hello;2;114;8;;2017-04-19T07:00:00+0000
92125817020_10154353144902021;;;32;3;;2017-04-19T01:10:06+0000
92125817020_10154335803222021;hello;2;64;6;;2017-04-13T23:00:00+0000
92125817020_10154336012337021;hello;40;114;35;;2017-04-13T06:38:19+0000
92125817020_10154335621957021;hello;6;165;24;;2017-04-13T02:34:55+0000
92125817020_10154327016617021;hello;25;183;22;;2017-04-10T07:00:00+0000
92125817020_10154317748482021;hello;4;56;3;;2017-04-07T05:00:00+0000
92125817020_10154314682297021;hello;4;97;11;;2017-04-06T07:21:14+0000
92125817020_10154311099597021;hello;20;215;75;;2017-04-05T02:59:39+0000
92125817020_10154306067962021;hello;5;154;12;;2017-04-03T07:00:00+0000
92125817020_10154294693797021;hello;658;1008;382;"[{""name""=>""Length"", ""text""=>""01:04""}]";2017-03-29T04:20:52+0000
92125817020_10154292549517021;hello;1;87;4;;2017-03-28T06:00:00+0000
92125817020_10154290123652021;hello;19;270;13;;2017-03-27T06:00:00+0000
92125817020_10154280470732021;hello;4;140;24;;2017-03-23T06:34:33+0000
92125817020_10154277974257021;hello;10;272;30;;2017-03-22T07:00:00+0000
92125817020_10154277671972021;hello;2;69;3;;2017-03-22T03:45:06+0000
92125817020_10154274864352021;hello;6;137;11;;2017-03-21T06:30:00+0000
92125817020_10154265834207021;hello;4;69;2;;2017-03-17T05:22:40+0000
92125817020_10154263701277021;hello;20;271;22;;2017-03-16T06:26:06+0000
92125817020_10154260988117021;hello;71;446;71;"[{""name""=>""Length"", ""text""=>""01:27""}]";2017-03-15T02:32:29+0000
92125817020_10154259083112021;hello;1;35;4;;2017-03-14T06:26:27+0000
92125817020_10154256517162021;hello;524;1886;374;"[{""name""=>""Length"", ""text""=>""00:35""}]";2017-03-13T06:11:57+0000
92125817020_10154247679672021;hello;8;44;1;;2017-03-10T04:23:46+0000
92125817020_10154247627727021;hello;11;19;4;;2017-03-10T03:54:49+0000
92125817020_10154244058417021;hello;20;348;39;;2017-03-09T06:00:00+0000
92125817020_10154237979262021;hello;17;416;37;;2017-03-07T06:45:53+0000
92125817020_10154235305317021;hello;15;211;3;;2017-03-06T06:05:43+0000
92125817020_10154226697067021;hello;4;51;4;;2017-03-03T05:30:00+0000
92125817020_10154226402267021;hello;;21;1;;2017-03-02T23:59:19+0000
92125817020_10154226376292021;hello;4;13;0;;2017-03-02T23:40:10+0000
92125817020_10154224796182021;hello;3;59;8;;2017-03-02T08:00:00+0000
92125817020_10154222308582021;hello;43;248;16;"[{""name""=>""Length"", ""text""=>""01:50""}]";2017-03-01T06:00:03+0000
92125817020_10154222067632021;hello;81;539;70;"[{""name""=>""Length"", ""text""=>""01:10""}]";2017-03-01T00:56:51+0000
92125817020_10154220311192021;hello;1;46;3;;2017-02-28T06:08:31+0000
92125817020_10154217818637021;hello;38;224;37;"[{""name""=>""Length"", ""text""=>""01:35""}]";2017-02-27T06:00:02+0000
92125817020_10154210947057021;hello;4;49;5;;2017-02-26T22:00:02+0000
92125817020_10154210934032021;hello;14;241;30;;2017-02-24T07:00:04+0000
92125817020_10154210864372021;hello;2;30;0;"[{""name""=>""Length"", ""text""=>""01:01""}]";2017-02-24T02:51:49+0000
92125817020_10154210722372021;;8;164;21;;2017-02-24T01:21:19+0000
92125817020_10154207859812021;hello;61;247;47;"[{""name""=>""Length"", ""text""=>""01:36""}]";2017-02-22T21:28:46+0000
92125817020_10154206517032021;hello;4;103;6;;2017-02-22T06:10:39+0000
92125817020_10154203983437021;hello;8;290;48;;2017-02-21T06:26:02+0000
92125817020_10154201745552021;hello;2;91;7;;2017-02-20T07:03:58+0000
92125817020_10154189153412021;hello;3;30;1;;2017-02-16T06:00:07+0000
92125817020_10154189104647021;hello;29;152;9;"[{""name""=>""Length"", ""text""=>""01:22""}]";2017-02-16T01:07:36+0000
92125817020_10154186765282021;hello;10;112;1;;2017-02-15T06:20:56+0000
92125817020_10154186521002021;hello;84;277;38;"[{""name""=>""Length"", ""text""=>""01:18""}]";2017-02-15T04:37:25+0000
92125817020_10154183993197021;hello;20;89;8;"[{""name""=>""Length"", ""text""=>""00:15""}]";2017-02-14T01:55:11+0000
