ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
238910182811664_1352264281476243;hello;97;135;2;"[{""name""=>""Length"", ""text""=>""00:06""}]";2017-04-24T10:00:00+0000
238910182811664_1346340728735265;;9;125;0;;2017-04-19T08:16:10+0000
238910182811664_1320898417946163;hello;14;56;5;;2017-04-17T05:21:31+0000
238910182811664_1327956210573717;hello;32;212;16;;2017-04-04T05:43:48+0000
238910182811664_1319968278039177;hello;9;69;5;;2017-03-31T05:00:00+0000
238910182811664_1319953961373942;hello;11;154;7;;2017-03-30T04:00:00+0000
238910182811664_1320944277941577;hello;124;315;16;;2017-03-29T03:47:25+0000
238910182811664_1313113032058035;hello;3;40;2;;2017-03-22T03:49:26+0000
238910182811664_1306901202679218;hello;30;213;6;;2017-03-16T03:08:55+0000
238910182811664_1304819772887361;hello;41;410;17;;2017-03-14T01:02:45+0000
238910182811664_1293509517351720;hello;33;402;7;;2017-03-03T04:30:03+0000
238910182811664_1279721172063888;hello;119;318;12;;2017-02-17T06:36:00+0000
238910182811664_1277350685634270;hello;53;447;12;;2017-02-15T06:34:23+0000
238910182811664_1275488075820531;hello;48;389;14;;2017-02-13T06:07:05+0000
238910182811664_1268020139900658;hello;26;294;19;;2017-02-10T05:00:04+0000
238910182811664_1268019886567350;hello;72;530;19;;2017-02-08T04:00:01+0000
238910182811664_1268019503234055;hello;41;388;18;;2017-02-06T05:32:45+0000
238910182811664_1264891590213513;hello;31;217;6;;2017-02-03T05:00:01+0000
238910182811664_1262603647108974;hello;33;225;10;;2017-02-01T04:12:47+0000
238910182811664_1260604907308848;hello;38;571;17;;2017-01-30T05:48:02+0000
238910182811664_1257186307650708;hello;31;290;11;;2017-01-27T05:25:31+0000
238910182811664_1254825137886825;hello;;167;5;;2017-01-25T03:56:06+0000
238910182811664_1252614408107898;hello;50;420;14;;2017-01-23T06:24:34+0000
238910182811664_1249580261744646;hello;19;202;5;;2017-01-20T06:30:08+0000
238910182811664_1248730278496311;hello;;32;7;;2017-01-19T06:09:42+0000
