ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
120452268146048_653519061506030;hello;32;1018;16;;2017-04-21T05:49:01+0000
120452268146048_652001004991169;hello;32;929;8;;2017-04-18T03:40:21+0000
120452268146048_648603145330955;hello;12;652;4;;2017-04-11T23:20:48+0000
120452268146048_646035375587732;hello;14;771;4;;2017-04-07T03:57:15+0000
120452268146048_645036699020933;hello;48;1573;12;;2017-04-05T10:58:51+0000
120452268146048_642453455945924;hello;15;1011;14;;2017-03-31T06:20:51+0000
120452268146048_635874233270513;hello;20;902;11;;2017-03-16T13:58:44+0000
120452268146048_635317746659495;hello;52;1127;14;;2017-03-15T09:39:13+0000
120452268146048_632937253564211;hello;21;1060;6;;2017-03-10T11:33:41+0000
120452268146048_629963900528213;hello;27;1148;5;;2017-03-04T14:31:37+0000
120452268146048_629469273911009;hello;29;841;10;;2017-03-03T14:02:11+0000
120452268146048_628584723999464;hello;17;638;7;;2017-03-01T13:15:46+0000
120452268146048_627680960756507;hello;20;1023;9;;2017-02-27T08:29:36+0000
120452268146048_626635577527712;hello;33;1172;14;;2017-02-24T15:29:14+0000
120452268146048_626162147575055;hello;37;1343;13;;2017-02-23T12:44:33+0000
120452268146048_623462291178374;hello;32;1242;9;;2017-02-17T14:04:44+0000
120452268146048_622730221251581;hello;31;1160;7;;2017-02-16T05:26:07+0000
120452268146048_620128221511781;hello;32;956;7;;2017-02-10T10:03:13+0000
120452268146048_618929481631655;hello;57;1533;39;;2017-02-07T13:11:37+0000
120452268146048_618479581676645;hello;20;670;10;;2017-02-06T11:44:05+0000
120452268146048_616040295253907;hello;30;1047;16;;2017-02-01T04:31:17+0000
120452268146048_614935418697728;hello;29;908;6;;2017-01-29T12:58:34+0000
120452268146048_614417352082868;hello;20;1090;11;;2017-01-28T05:53:15+0000
120452268146048_612424818948788;hello;47;1505;12;;2017-01-23T21:14:21+0000
120452268146048_611674632357140;hello;31;1377;19;;2017-01-22T10:59:52+0000
