ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
197052454200_10155335404474201;hello;13;125;2;"[{""name""=>""Length"", ""text""=>""01:21""}]";2017-04-24T23:02:56+0000
197052454200_10155334377424201;hello;29;113;3;"[{""name""=>""Length"", ""text""=>""00:45""}]";2017-04-24T17:30:32+0000
197052454200_10155334185804201;hello;;20;1;;2017-04-24T16:15:33+0000
197052454200_10155334179214201;hello;29;232;6;;2017-04-24T16:11:22+0000
197052454200_10155329008719201;hello;93;896;30;;2017-04-23T21:00:00+0000
197052454200_10155330642509201;hello;16;148;7;;2017-04-23T16:30:03+0000
197052454200_10155327608439201;hello;182;593;29;"[{""name""=>""Length"", ""text""=>""01:31""}]";2017-04-22T20:30:00+0000
197052454200_10155317553644201;hello;24;158;2;"[{""name""=>""Length"", ""text""=>""01:31""}]";2017-04-22T18:00:00+0000
197052454200_10155327442509201;hello;58;311;32;;2017-04-22T16:00:28+0000
197052454200_10155323445009201;hello;;57;2;;2017-04-21T16:16:17+0000
197052454200_10155323413129201;hello;71;341;29;;2017-04-21T16:00:32+0000
197052454200_10155323350409201;hello;22;228;8;;2017-04-21T15:30:10+0000
197052454200_10155318514609201;hello;88;511;28;"[{""name""=>""Length"", ""text""=>""00:09""}]";2017-04-20T20:00:55+0000
197052454200_10155317371064201;hello;69;644;21;;2017-04-20T17:00:04+0000
197052454200_10155317199824201;hello;;84;3;;2017-04-20T15:59:06+0000
197052454200_10155310578479201;hello;99;804;30;;2017-04-18T17:54:20+0000
197052454200_10155310228259201;hello;89;1067;48;;2017-04-18T16:00:07+0000
197052454200_10155307101509201;hello;32;113;15;"[{""name""=>""Length"", ""text""=>""00:45""}]";2017-04-17T16:31:20+0000
197052454200_10155303458594201;hello;129;971;56;;2017-04-16T16:00:00+0000
197052454200_10155296719219201;hello;5;160;7;;2017-04-15T16:00:00+0000
197052454200_10155295886284201;hello;34;568;29;;2017-04-14T16:00:05+0000
197052454200_10155295530964201;hello;125;847;34;;2017-04-14T14:00:19+0000
197052454200_10155293025324201;hello;149;1307;67;;2017-04-13T22:00:00+0000
197052454200_10155293011909201;hello;8;99;3;;2017-04-13T20:00:06+0000
197052454200_10155292667314201;hello;10462;8627;2520;;2017-04-13T18:10:15+0000
197052454200_10155292301484201;hello;207;1264;99;;2017-04-13T16:30:00+0000
197052454200_10155292141039201;hello;126;795;47;;2017-04-13T15:19:05+0000
197052454200_10155288494774201;hello;371;957;95;;2017-04-12T18:56:15+0000
197052454200_10155288134584201;hello;45;251;70;;2017-04-12T17:01:20+0000
197052454200_10155287641284201;hello;107;364;83;;2017-04-12T13:33:55+0000
197052454200_10155287607189201;hello;221;912;193;;2017-04-12T13:21:25+0000
197052454200_10155284249894201;hello;280;793;281;"[{""name""=>""Length"", ""text""=>""23:36""}]";2017-04-12T13:04:28+0000
197052454200_10155284997699201;hello;30;291;25;;2017-04-11T20:20:05+0000
197052454200_10155284187089201;hello;44;152;4;"[{""name""=>""Length"", ""text""=>""00:48""}]";2017-04-11T15:30:45+0000
197052454200_10155281547759201;hello;206;810;58;;2017-04-10T19:00:13+0000
197052454200_10155281458569201;hello;219;1372;43;"[{""name""=>""Length"", ""text""=>""04:09""}]";2017-04-10T18:28:44+0000
197052454200_10155280714469201;hello;68;905;22;;2017-04-10T14:00:15+0000
197052454200_10155280339394201;hello;852;2136;102;;2017-04-10T11:00:16+0000
197052454200_10155279419179201;hello;12;223;4;;2017-04-10T02:17:38+0000
197052454200_10155275020019201;hello;26;457;23;;2017-04-08T18:00:10+0000
197052454200_10155270918744201;hello;96;1282;55;;2017-04-07T15:30:03+0000
197052454200_10155267719654201;hello;25;167;18;;2017-04-06T21:00:07+0000
197052454200_10155267215519201;hello;4;86;0;;2017-04-06T18:01:51+0000
197052454200_10155266963169201;;;93;4;;2017-04-06T17:10:42+0000
197052454200_10155266922044201;hello;156;1006;52;;2017-04-06T17:00:18+0000
197052454200_10155266362824201;;;112;4;;2017-04-06T14:10:44+0000
197052454200_10155263526504201;hello;193;1001;42;"[{""name""=>""Length"", ""text""=>""00:32""}]";2017-04-05T19:39:29+0000
197052454200_10155261133659201;hello;;84;2;;2017-04-05T14:02:05+0000
197052454200_10155259047624201;hello;;82;7;;2017-04-04T23:51:43+0000
197052454200_10155256933434201;hello;27;395;9;;2017-04-04T18:00:23+0000
197052454200_10155253766789201;hello;19;132;3;"[{""name""=>""Length"", ""text""=>""02:26""}]";2017-04-03T20:56:30+0000
197052454200_10155253027184201;;19;215;12;;2017-04-03T16:08:54+0000
197052454200_10155252969844201;hello;26;170;15;"[{""name""=>""Length"", ""text""=>""00:53""}]";2017-04-03T15:46:40+0000
197052454200_10155247374184201;hello;32;203;15;"[{""name""=>""Length"", ""text""=>""00:47""}]";2017-04-01T17:16:01+0000
197052454200_10155244632244201;hello;7;63;6;;2017-03-31T21:00:03+0000
197052454200_10155244335114201;hello;23;222;9;;2017-03-31T20:07:25+0000
197052454200_10155244239859201;hello;;39;1;;2017-03-31T19:50:16+0000
197052454200_10155243590514201;hello;49;844;19;;2017-03-31T15:30:05+0000
197052454200_10155241484494201;hello;38;168;9;"[{""name""=>""Length"", ""text""=>""00:45""}]";2017-03-30T22:00:39+0000
197052454200_10155233379449201;hello;36;474;15;;2017-03-30T15:00:02+0000
197052454200_10155238492654201;hello;;571;13;;2017-03-29T18:37:17+0000
197052454200_10155237478809201;hello;125;861;75;;2017-03-29T11:00:09+0000
197052454200_10155232591019201;hello;45;200;19;;2017-03-27T18:00:05+0000
197052454200_10155230122544201;hello;65;417;18;"[{""name""=>""Length"", ""text""=>""00:47""}]";2017-03-26T22:41:33+0000
197052454200_10155225830564201;hello;51;651;17;;2017-03-25T15:29:32+0000
197052454200_10155223666899201;hello;451;1258;120;"[{""name""=>""Length"", ""text""=>""00:33""}]";2017-03-24T23:24:18+0000
197052454200_10155223663249201;hello;68;669;26;;2017-03-24T23:21:30+0000
197052454200_10155222609734201;hello;34;117;6;"[{""name""=>""Length"", ""text""=>""00:48""}]";2017-03-24T19:00:39+0000
197052454200_10155222019274201;hello;105;1504;32;;2017-03-24T15:30:04+0000
197052454200_10155219592814201;hello;57;755;30;;2017-03-24T02:30:00+0000
197052454200_10155219487899201;hello;5;127;7;;2017-03-23T20:07:22+0000
197052454200_10155218650254201;hello;33;512;6;;2017-03-23T14:29:33+0000
197052454200_10155216232279201;hello;50;691;13;;2017-03-22T19:40:20+0000
197052454200_10155213892739201;hello;;235;5;;2017-03-22T03:15:17+0000
197052454200_10155213134824201;hello;15;142;4;"[{""name""=>""Length"", ""text""=>""01:29""}]";2017-03-21T22:17:36+0000
197052454200_10155213089064201;hello;35;133;6;"[{""name""=>""Length"", ""text""=>""00:45""}]";2017-03-21T22:00:45+0000
197052454200_10155212710529201;;;104;1;;2017-03-21T19:42:57+0000
197052454200_10155209166624201;hello;33;357;17;;2017-03-20T16:00:08+0000
197052454200_10155208982304201;hello;;144;2;;2017-03-20T14:21:06+0000
197052454200_10155207418814201;hello;31;344;3;;2017-03-20T13:00:00+0000
197052454200_10155190419219201;hello;29;246;5;;2017-03-19T22:00:00+0000
197052454200_10155206501844201;hello;;166;7;;2017-03-19T16:59:10+0000
197052454200_10155204291124201;hello;;95;5;;2017-03-18T21:30:47+0000
197052454200_10155204220014201;hello;;97;3;;2017-03-18T21:01:43+0000
197052454200_10155203739674201;hello;17;171;4;"[{""name""=>""Length"", ""text""=>""01:52""}]";2017-03-18T17:52:46+0000
197052454200_10155200491764201;hello;1;309;23;;2017-03-17T18:55:48+0000
197052454200_10155197519029201;hello;5;121;2;;2017-03-17T18:00:02+0000
197052454200_10155193090339201;hello;11;212;2;;2017-03-17T17:00:02+0000
197052454200_10155199543574201;hello;94;1098;37;;2017-03-17T15:30:06+0000
197052454200_10155197832119201;hello;28;388;10;;2017-03-17T00:56:28+0000
197052454200_10155197371014201;hello;18;284;8;"[{""name""=>""Length"", ""text""=>""00:03""}]";2017-03-16T23:00:25+0000
197052454200_10155196965604201;hello;8;58;1;;2017-03-16T21:00:11+0000
197052454200_10155196383979201;hello;;56;1;;2017-03-16T18:36:32+0000
197052454200_10155196047639201;hello;5;131;5;;2017-03-16T18:00:42+0000
197052454200_10155196048784201;hello;;73;1;;2017-03-16T16:46:02+0000
197052454200_10155194043554201;;;72;3;;2017-03-16T00:30:35+0000
197052454200_10155193787504201;hello;;85;2;;2017-03-15T23:00:09+0000
197052454200_10155193511354201;hello;21800;7929;2492;;2017-03-15T21:00:18+0000
197052454200_10155193264419201;hello;47;524;26;;2017-03-15T19:04:26+0000
197052454200_10155193109479201;hello;31;151;5;"[{""name""=>""Length"", ""text""=>""00:47""}]";2017-03-15T18:00:42+0000
197052454200_10155192958799201;hello;62;691;32;;2017-03-15T17:10:24+0000
197052454200_10155190908394201;hello;31;531;22;;2017-03-14T23:11:59+0000
197052454200_10155190588759201;hello;21;421;12;;2017-03-14T20:58:44+0000
197052454200_10155190250889201;hello;20;319;10;;2017-03-14T19:00:22+0000
197052454200_10155190232649201;hello;12;99;2;;2017-03-14T18:30:05+0000
197052454200_10155189818054201;hello;28;133;3;;2017-03-14T16:10:06+0000
197052454200_10155189527859201;hello;39;248;5;"[{""name""=>""Length"", ""text""=>""00:31""}]";2017-03-14T14:01:13+0000
197052454200_10155188372444201;hello;52;327;16;"[{""name""=>""Length"", ""text""=>""00:59""}]";2017-03-14T02:44:47+0000
197052454200_10155181526214201;;;305;14;;2017-03-12T04:31:31+0000
