ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
197052454200_10155335404474201;Being connected to the environment requires daily commitment. Learn how #TeamToyota Athlete Amy Purdy, with support from the #Mirai, is committed to environmental protection. #AthletesForTheEarth;13;121;2;"[{""name""=>""Length"", ""text""=>""01:21""}]";2017-04-24T23:02:56+0000
197052454200_10155334377424201;If you’re hard on your car, there may be an easy solution. Ask your dealer about Excess Wear & Use Protection from Toyota Financial Services.;28;111;3;"[{""name""=>""Length"", ""text""=>""00:45""}]";2017-04-24T17:30:32+0000
197052454200_10155334185804201;Watch as couples compete in the Tasty Date Night Challenge at the Charleston Wine + Food Festival with the help of the #RAV4.;;19;1;;2017-04-24T16:15:33+0000
197052454200_10155334179214201;Congratulations to Ryan Millen and Rhianon Gelsomino on their hard fought victory in the American Rally Association #OTR2017 2WD class. #RallyRAV4;28;226;6;;2017-04-24T16:11:22+0000
197052454200_10155329008719201;We came. We saw. We conquered. Thanks to everyone who came by the New York International Auto Show!;92;894;30;;2017-04-23T21:00:00+0000
197052454200_10155330642509201;It's easy to find the Toyota you want, at a price you can afford. Check out our payment estimator: http://toyota.us/2oW4o6N;16;147;7;;2017-04-23T16:30:03+0000
197052454200_10155327608439201;Check out the sights of the city and see what a typical day is like when Ryan Guzman visits New York. Ride along as he tests out the #ToyotaCHR and explains why it's the perfect car to take in the city. #NYIAS;181;591;29;"[{""name""=>""Length"", ""text""=>""01:31""}]";2017-04-22T20:30:00+0000
197052454200_10155317553644201;Learn how Toyota Athlete Elena Hight is committed to environmental protection. Made possible by support from the #Mirai. #EarthDay;24;157;2;"[{""name""=>""Length"", ""text""=>""01:31""}]";2017-04-22T18:00:00+0000
197052454200_10155327442509201;#EarthDay all day, every day – to the moon and back. #ToyotaHybrids;58;310;32;;2017-04-22T16:00:28+0000
197052454200_10155323445009201;Check out some of the unique fitness and food options that LA has to offer with Men's Health, Women's Health and of course, the #RAV4.;;57;2;;2017-04-21T16:16:17+0000
197052454200_10155323413129201;Can you imagine a ZERO VAPOR heavy-duty truck that still has the power & torque to get it done? We can. Learn more: http://toyota.us/2ou8651;71;341;29;;2017-04-21T16:00:32+0000
