ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
425297090970774_797074143793065;hello;;21;0;;2017-04-21T13:47:46+0000
425297090970774_795797563920723;hello;;15;0;;2017-04-19T14:47:08+0000
425297090970774_791571034343376;hello;;13;0;;2017-04-13T06:30:17+0000
425297090970774_791154064385073;hello;;12;0;;2017-04-12T14:38:43+0000
425297090970774_791010247732788;hello;5;28;0;;2017-04-12T10:19:04+0000
425297090970774_787478438085969;hello;14;25;0;;2017-04-07T13:05:46+0000
425297090970774_787342631432883;hello;1;9;0;;2017-04-07T13:00:00+0000
425297090970774_786653974835082;hello;4;19;0;;2017-04-07T08:30:00+0000
425297090970774_786588154841664;hello;9;26;0;;2017-04-06T10:43:47+0000
425297090970774_785851704915309;hello;;13;0;;2017-04-05T10:30:39+0000
425297090970774_785187704981709;hello;;34;1;;2017-04-04T09:35:29+0000
425297090970774_784526808381132;;4;20;0;;2017-04-03T07:35:38+0000
425297090970774_782753841891762;hello;10;43;1;;2017-03-31T11:33:11+0000
425297090970774_781957501971396;hello;;55;0;;2017-03-30T06:34:30+0000
425297090970774_781480302019116;hello;13;32;1;;2017-03-29T09:46:13+0000
425297090970774_780844055416074;hello;;16;0;;2017-03-28T07:46:49+0000
425297090970774_780304082136738;;;15;0;;2017-03-27T09:50:05+0000
425297090970774_778566192310527;hello;;6;0;;2017-03-24T12:55:36+0000
425297090970774_778415275658952;hello;;24;0;;2017-03-24T07:41:10+0000
425297090970774_777904119043401;hello;8;41;0;;2017-03-23T12:40:55+0000
425297090970774_772248462942300;hello;2;22;0;;2017-03-14T14:40:01+0000
425297090970774_772125936287886;hello;4;26;0;;2017-03-14T07:41:51+0000
425297090970774_768417683325378;;;17;0;;2017-03-08T11:41:44+0000
425297090970774_765280860305727;hello;2;11;0;;2017-03-03T07:20:39+0000
425297090970774_764359820397831;hello;;22;0;;2017-03-01T14:05:28+0000
425297090970774_763756233791523;hello;6;30;0;;2017-02-28T12:16:53+0000
425297090970774_763247753842371;hello;1;25;0;;2017-02-27T13:51:34+0000
425297090970774_761327364034410;hello;1;16;0;;2017-02-24T07:23:06+0000
425297090970774_759681950865618;hello;;15;0;;2017-02-21T09:23:50+0000
425297090970774_758979537602526;hello;8;26;0;;2017-02-20T07:47:56+0000
425297090970774_758977947602685;hello;;15;0;;2017-02-20T07:32:48+0000
425297090970774_755653134601833;hello;;11;0;;2017-02-15T08:58:23+0000
425297090970774_755118217988658;hello;;12;0;;2017-02-14T13:43:02+0000
425297090970774_752688711564942;hello;4;23;0;;2017-02-10T12:25:47+0000
425297090970774_751960574971089;hello;1;24;0;;2017-02-09T07:57:12+0000
425297090970774_751501451683668;hello;11;40;1;;2017-02-08T12:17:08+0000
425297090970774_751485341685279;hello;6;47;0;;2017-02-08T11:37:30+0000
425297090970774_748020548698425;hello;4;22;0;;2017-02-03T08:07:03+0000
425297090970774_747472232086590;hello;5;15;0;;2017-02-02T10:57:56+0000
425297090970774_745355735631573;hello;3;16;1;"[{""name""=>""Length"", ""text""=>""00:30""}]";2017-01-29T23:03:15+0000
425297090970774_743808185786328;hello;;16;0;;2017-01-27T10:11:03+0000
425297090970774_743282492505564;hello;6;47;0;;2017-01-26T13:44:42+0000
425297090970774_742655062568307;hello;;9;0;;2017-01-25T15:34:11+0000
425297090970774_742436479256832;hello;;16;0;;2017-01-25T09:21:17+0000
425297090970774_741868715980275;hello;;25;1;;2017-01-24T13:43:41+0000
425297090970774_738375566329590;hello;2;49;0;;2017-01-19T09:02:03+0000
425297090970774_737682453065568;;17;42;1;;2017-01-18T10:39:15+0000
425297090970774_727426650757815;hello;5;24;1;;2017-01-01T10:18:25+0000
425297090970774_721630674670746;hello;7;15;1;"[{""name""=>""Length"", ""text""=>""01:27""}]";2016-12-22T10:09:05+0000
425297090970774_721073598059787;hello;2;5;0;;2016-12-21T10:17:05+0000
