ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
154676874587995_1361821040540233;hello;"{""count""=>1}";12;0;;2017-05-13T22:16:00+0000
154676874587995_1361805010541836;hello;"{""count""=>27}";83;7;"[{""name""=>""Length"", ""text""=>""03:01""}]";2017-05-12T06:03:46+0000
154676874587995_1360974133958257;hello;"{""count""=>3}";16;1;"[{""name""=>""Length"", ""text""=>""00:16""}]";2017-05-11T07:23:44+0000
154676874587995_1359963840725953;hello;"{""count""=>1}";6;0;;2017-05-10T04:34:52+0000
154676874587995_1359815604074110;hello;"{""count""=>5}";18;0;"[{""name""=>""Length"", ""text""=>""00:22""}]";2017-05-10T00:25:26+0000
154676874587995_1359200370802300;hello;"{""count""=>1}";47;1;;2017-05-09T07:52:06+0000
154676874587995_1358347547554249;hello;"{""count""=>1}";27;1;;2017-05-08T07:44:10+0000
154676874587995_1355545311167806;hello;"{""count""=>1}";58;0;;2017-05-05T06:36:00+0000
154676874587995_1355535667835437;hello;"{""count""=>9}";58;2;;2017-05-05T04:41:18+0000
154676874587995_1354608387928165;hello;"{""count""=>5}";52;0;;2017-05-04T04:28:15+0000
154676874587995_1353503848038619;hello;"{""count""=>6}";41;1;;2017-05-03T00:31:04+0000
154676874587995_1351605268228477;hello;"{""count""=>3}";23;0;;2017-05-01T00:10:10+0000
154676874587995_1349265078462496;hello;"{""count""=>3}";18;0;;2017-04-29T00:00:00+0000
154676874587995_1349316091790728;hello;"{""count""=>7}";55;6;;2017-04-28T06:23:40+0000
154676874587995_1348428005212870;hello;;5;0;"[{""name""=>""Length"", ""text""=>""00:05""}]";2017-04-27T21:24:00+0000
154676874587995_1348417411880596;hello;;8;0;;2017-04-27T07:04:09+0000
154676874587995_1347415911980746;hello;"{""count""=>6}";37;1;"[{""name""=>""Length"", ""text""=>""00:15""}]";2017-04-26T03:48:51+0000
154676874587995_1345425888846415;hello;"{""count""=>10}";47;3;;2017-04-24T07:09:15+0000
154676874587995_1342459582476379;hello;"{""count""=>5}";41;1;;2017-04-22T00:00:00+0000
154676874587995_1341247329264271;hello;;12;1;;2017-04-20T03:40:26+0000
154676874587995_1333675346688136;hello;"{""count""=>1}";7;0;;2017-04-12T23:21:05+0000
154676874587995_1332808390108165;hello;"{""count""=>6}";53;0;;2017-04-12T06:18:16+0000
154676874587995_1332543093468028;hello;"{""count""=>13}";51;7;"[{""name""=>""Length"", ""text""=>""04:01""}]";2017-04-12T00:09:15+0000
154676874587995_1327562410632763;hello;"{""count""=>3}";21;0;;2017-04-07T05:14:05+0000
154676874587995_1326532454069092;hello;"{""count""=>1}";16;0;;2017-04-06T07:23:27+0000
154676874587995_1304162169639454;hello;"{""count""=>6}";41;2;;2017-04-04T03:52:00+0000
154676874587995_1324179360971068;hello;"{""count""=>2}";5;0;;2017-04-03T22:52:12+0000
154676874587995_1304151836307154;hello;"{""count""=>6}";31;0;;2017-04-02T10:00:00+0000
154676874587995_1320207074701630;hello;"{""count""=>1}";19;0;;2017-03-31T05:52:00+0000
154676874587995_1320100471378957;hello;"{""count""=>5}";35;1;;2017-03-31T03:18:24+0000
154676874587995_1319165611472443;hello;"{""count""=>5}";52;2;;2017-03-30T04:31:37+0000
154676874587995_1318299611559043;hello;;5;0;;2017-03-29T19:00:00+0000
154676874587995_1318280838227587;hello;"{""count""=>5}";79;3;;2017-03-29T05:15:35+0000
154676874587995_1317099238345747;hello;;4;0;;2017-03-28T00:42:42+0000
154676874587995_1316006421788362;hello;"{""count""=>2}";11;0;;2017-03-27T05:00:00+0000
154676874587995_1304157106306627;hello;"{""count""=>3}";33;0;;2017-03-27T02:44:00+0000
154676874587995_1316013195121018;;"{""count""=>6}";49;0;;2017-03-26T23:39:29+0000
154676874587995_1313167298738941;hello;"{""count""=>28}";83;9;"[{""name""=>""Length"", ""text""=>""02:09""}]";2017-03-24T06:12:54+0000
154676874587995_1304161352972869;hello;"{""count""=>3}";43;0;;2017-03-24T02:50:00+0000
154676874587995_1312975045424833;hello;"{""count""=>1}";22;0;;2017-03-24T00:57:26+0000
154676874587995_1304153959640275;hello;"{""count""=>3}";43;2;;2017-03-21T02:40:00+0000
154676874587995_1308931745829163;hello;"{""count""=>3}";35;3;;2017-03-20T02:02:19+0000
154676874587995_1304145706307767;hello;"{""count""=>2}";23;0;;2017-03-18T02:26:00+0000
154676874587995_1306168539438817;hello;"{""count""=>2}";31;0;;2017-03-17T05:12:31+0000
154676874587995_1305937066128631;hello;;34;0;;2017-03-16T22:32:49+0000
154676874587995_1304124976309840;hello;"{""count""=>10}";48;2;;2017-03-15T01:49:12+0000
154676874587995_1303165153072489;hello;"{""count""=>19}";64;5;;2017-03-14T05:28:01+0000
154676874587995_1303147163074288;hello;"{""count""=>4}";37;3;;2017-03-14T03:06:49+0000
154676874587995_1295888013800203;hello;"{""count""=>2}";34;0;;2017-03-08T03:41:09+0000
154676874587995_1289902514398753;hello;"{""count""=>1}";18;1;;2017-03-05T22:00:00+0000
154676874587995_1289901374398867;hello;"{""count""=>1}";19;1;;2017-03-03T23:00:00+0000
154676874587995_1289894611066210;hello;"{""count""=>1}";31;1;;2017-03-03T03:27:32+0000
154676874587995_1288006297921708;hello;"{""count""=>7}";27;0;"[{""name""=>""Length"", ""text""=>""00:31""}]";2017-03-01T05:31:34+0000
154676874587995_1282635288458809;hello;;34;0;;2017-02-24T03:58:29+0000
154676874587995_1278738512181820;hello;"{""count""=>23}";59;1;;2017-02-21T04:03:30+0000
154676874587995_1273650872690584;hello;"{""count""=>4}";37;0;;2017-02-17T00:57:43+0000
154676874587995_1273590492696622;hello;"{""count""=>3}";41;0;;2017-02-16T23:18:19+0000
154676874587995_1271576392898032;hello;"{""count""=>11}";40;2;"[{""name""=>""Length"", ""text""=>""00:31""}]";2017-02-15T05:04:15+0000
154676874587995_1270768386312166;hello;"{""count""=>1}";20;1;;2017-02-14T05:22:13+0000
154676874587995_1267105103345161;hello;"{""count""=>13}";71;0;;2017-02-09T23:49:38+0000
154676874587995_1258936740828664;hello;"{""count""=>6}";35;0;;2017-02-02T05:38:49+0000
154676874587995_1257433314312340;hello;"{""count""=>17}";50;5;"[{""name""=>""Length"", ""text""=>""00:31""}]";2017-02-01T01:27:02+0000
154676874587995_1251005538288451;hello;"{""count""=>7}";37;0;;2017-01-27T03:51:08+0000
