ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
162598113834257_1350199045074152;hello;"{""count""=>11}";43;0;;2017-05-13T16:05:01+0000
162598113834257_1349139111846812;hello;"{""count""=>9}";70;4;;2017-05-12T16:30:03+0000
162598113834257_1349036851857038;hello;"{""count""=>8}";130;0;;2017-05-12T13:45:46+0000
162598113834257_1348389965255060;hello;"{""count""=>3}";52;0;;2017-05-11T18:00:10+0000
162598113834257_1348279828599407;hello;"{""count""=>2}";40;0;;2017-05-11T15:00:22+0000
162598113834257_1347418102018913;hello;"{""count""=>3}";34;3;;2017-05-10T14:50:02+0000
162598113834257_1346677048759685;hello;"{""count""=>16}";79;0;;2017-05-09T16:25:12+0000
162598113834257_1345799912180732;hello;"{""count""=>17}";104;0;;2017-05-08T14:01:56+0000
162598113834257_1345004868926903;hello;"{""count""=>30}";164;6;;2017-05-07T15:30:03+0000
162598113834257_1344157812344942;hello;"{""count""=>2}";50;2;;2017-05-06T16:05:02+0000
162598113834257_1343155869111803;hello;"{""count""=>23}";107;1;;2017-05-05T15:00:10+0000
162598113834257_1342335005860556;hello;"{""count""=>8}";51;0;;2017-05-04T14:50:02+0000
162598113834257_1341457969281593;hello;"{""count""=>27}";121;4;;2017-05-03T15:00:15+0000
162598113834257_1340498102710913;hello;"{""count""=>17}";109;4;;2017-05-02T15:00:18+0000
162598113834257_1340455916048465;hello;"{""count""=>10}";57;3;"[{""name""=>""Length"", ""text""=>""00:23""}]";2017-05-02T14:20:13+0000
162598113834257_1339648006129256;hello;"{""count""=>30}";84;1;;2017-05-01T15:49:07+0000
162598113834257_1339122139515176;;"{""count""=>5}";95;0;;2017-05-01T01:05:49+0000
162598113834257_1338814449545945;hello;"{""count""=>10}";67;0;;2017-04-30T16:05:02+0000
162598113834257_1337951259632264;hello;"{""count""=>12}";97;11;"[{""name""=>""Length"", ""text""=>""00:29""}]";2017-04-29T18:55:53+0000
162598113834257_1337923802968343;hello;"{""count""=>3}";46;0;"[{""name""=>""Length"", ""text""=>""00:22""}]";2017-04-29T18:18:54+0000
162598113834257_1337785846315472;hello;"{""count""=>16}";81;18;;2017-04-29T15:00:04+0000
162598113834257_1337774756316581;hello;"{""count""=>16}";96;13;"[{""name""=>""Length"", ""text""=>""02:34""}]";2017-04-29T14:48:56+0000
162598113834257_1337296616364395;;"{""count""=>8}";89;0;;2017-04-29T02:29:38+0000
162598113834257_1336907683069955;hello;"{""count""=>1}";78;0;;2017-04-28T16:05:03+0000
162598113834257_1336797123081011;hello;"{""count""=>27}";78;5;"[{""name""=>""Length"", ""text""=>""01:04""}]";2017-04-28T14:00:35+0000
162598113834257_1336263119801078;hello;"{""count""=>29}";82;0;;2017-04-27T20:53:34+0000
162598113834257_1335155466578510;hello;"{""count""=>20}";87;0;;2017-04-26T14:32:08+0000
162598113834257_1334588286635228;hello;;17;0;;2017-04-25T19:59:01+0000
162598113834257_1334430646650992;hello;"{""count""=>11}";61;3;"[{""name""=>""Length"", ""text""=>""00:30""}]";2017-04-25T15:47:36+0000
162598113834257_1333067396787317;hello;"{""count""=>26}";93;2;;2017-04-24T14:32:21+0000
162598113834257_1332194873541236;hello;"{""count""=>21}";170;1;;2017-04-23T15:30:02+0000
162598113834257_1331294106964646;hello;"{""count""=>438}";430;137;;2017-04-22T14:45:02+0000
162598113834257_1331219823638741;hello;"{""count""=>39}";121;9;"[{""name""=>""Length"", ""text""=>""02:53""}]";2017-04-22T13:04:41+0000
162598113834257_1330622207031836;hello;"{""count""=>116}";194;6;"[{""name""=>""Length"", ""text""=>""01:54""}]";2017-04-21T20:05:23+0000
162598113834257_1330475107046546;hello;"{""count""=>31}";71;1;"[{""name""=>""Length"", ""text""=>""00:30""}]";2017-04-21T16:38:01+0000
162598113834257_1329351930492197;hello;"{""count""=>12}";67;0;;2017-04-20T16:01:53+0000
162598113834257_1328347567259300;hello;"{""count""=>12}";71;0;;2017-04-19T15:35:02+0000
162598113834257_1327478240679566;hello;"{""count""=>21}";59;12;"[{""name""=>""Length"", ""text""=>""04:22""}]";2017-04-18T19:33:06+0000
162598113834257_1327192710708119;hello;"{""count""=>45}";149;2;;2017-04-18T15:02:18+0000
162598113834257_1326277444132979;hello;"{""count""=>50}";114;2;;2017-04-17T15:33:06+0000
162598113834257_1325251714235552;hello;"{""count""=>50}";147;4;;2017-04-16T14:30:03+0000
162598113834257_1324315804329143;hello;"{""count""=>8}";52;0;;2017-04-15T15:30:04+0000
162598113834257_1323485631078827;hello;"{""count""=>6}";66;2;;2017-04-14T17:00:17+0000
162598113834257_1323397627754294;hello;"{""count""=>9}";80;5;;2017-04-14T15:00:11+0000
162598113834257_1322486101178780;hello;"{""count""=>10}";43;0;;2017-04-13T15:56:33+0000
162598113834257_1322374111189979;hello;"{""count""=>1}";18;0;;2017-04-13T13:53:25+0000
162598113834257_1321582717935785;hello;"{""count""=>28}";57;0;"[{""name""=>""Length"", ""text""=>""01:30""}]";2017-04-12T17:25:35+0000
162598113834257_1321402894620434;hello;"{""count""=>6}";54;1;;2017-04-12T13:08:47+0000
162598113834257_1320559628038094;hello;"{""count""=>27}";141;2;;2017-04-11T15:55:33+0000
162598113834257_1319498351477555;hello;"{""count""=>545}";407;149;;2017-04-10T15:15:26+0000
162598113834257_1318578111569579;hello;"{""count""=>18}";124;8;;2017-04-09T15:30:01+0000
162598113834257_1317627078331349;hello;"{""count""=>8}";48;0;;2017-04-08T15:30:04+0000
162598113834257_1316792441748146;hello;"{""count""=>31}";82;2;;2017-04-07T16:45:02+0000
162598113834257_1316653215095402;hello;"{""count""=>20}";131;5;;2017-04-07T14:00:12+0000
162598113834257_1315759111851479;hello;"{""count""=>11}";30;0;;2017-04-06T14:51:02+0000
162598113834257_1314674725293251;hello;"{""count""=>5}";25;1;;2017-04-05T14:26:07+0000
162598113834257_1313764145384309;hello;"{""count""=>9}";40;0;;2017-04-04T14:52:00+0000
162598113834257_1312807188813338;hello;"{""count""=>48}";48;0;;2017-04-03T14:50:02+0000
162598113834257_1311866642240726;hello;"{""count""=>16}";103;0;;2017-04-02T16:01:01+0000
162598113834257_1309907572436633;hello;"{""count""=>13}";74;0;;2017-03-31T16:29:11+0000
162598113834257_1309787369115320;hello;"{""count""=>15}";72;2;;2017-03-31T13:40:02+0000
162598113834257_1308977139196343;hello;"{""count""=>12}";55;0;;2017-03-30T16:01:03+0000
162598113834257_1308126699281387;hello;"{""count""=>20}";93;6;;2017-03-29T15:00:13+0000
162598113834257_1307310346029689;hello;"{""count""=>12}";65;1;;2017-03-28T15:30:07+0000
162598113834257_1306345389459518;hello;"{""count""=>18}";112;0;;2017-03-27T13:44:53+0000
162598113834257_1305788106181913;hello;"{""count""=>17}";92;1;;2017-03-26T21:23:10+0000
162598113834257_1304577969636260;hello;"{""count""=>13}";79;1;;2017-03-25T14:15:02+0000
162598113834257_1304015513025839;hello;"{""count""=>24}";128;7;"[{""name""=>""Length"", ""text""=>""04:02""}]";2017-03-24T23:38:59+0000
162598113834257_1303760136384710;hello;"{""count""=>41}";144;5;;2017-03-24T16:01:01+0000
162598113834257_1302856753141715;hello;"{""count""=>39}";149;7;;2017-03-23T15:30:03+0000
162598113834257_1302042096556514;hello;"{""count""=>9}";21;0;;2017-03-22T17:45:11+0000
162598113834257_1301052923322098;hello;"{""count""=>36}";117;2;;2017-03-21T14:51:44+0000
162598113834257_1300273216733402;hello;"{""count""=>55}";152;0;"[{""name""=>""Length"", ""text""=>""00:39""}]";2017-03-20T15:51:05+0000
162598113834257_1298442206916503;hello;"{""count""=>16}";101;2;;2017-03-18T15:05:03+0000
162598113834257_1297575280336529;hello;"{""count""=>16}";57;1;;2017-03-17T15:00:10+0000
162598113834257_1296705750423482;hello;"{""count""=>31}";157;5;;2017-03-16T15:00:09+0000
162598113834257_1296057987154925;hello;"{""count""=>8}";97;2;;2017-03-15T18:56:29+0000
162598113834257_1295951423832248;hello;"{""count""=>14}";79;1;;2017-03-15T16:05:02+0000
162598113834257_1295852023842188;hello;"{""count""=>18}";59;0;"[{""name""=>""Length"", ""text""=>""00:21""}]";2017-03-15T14:08:26+0000
162598113834257_1295216313905759;hello;"{""count""=>12}";88;1;;2017-03-14T19:21:14+0000
162598113834257_1295080683919322;hello;"{""count""=>6}";40;0;;2017-03-14T16:05:04+0000
162598113834257_1294981080595949;hello;"{""count""=>31}";95;5;"[{""name""=>""Length"", ""text""=>""01:54""}]";2017-03-14T13:47:36+0000
162598113834257_1293934300700627;hello;"{""count""=>16}";116;3;"[{""name""=>""Length"", ""text""=>""00:34""}]";2017-03-13T18:34:25+0000
162598113834257_1293824460711611;hello;"{""count""=>17}";123;4;;2017-03-13T16:51:58+0000
162598113834257_1292403914186999;hello;"{""count""=>3}";71;3;;2017-03-12T17:43:10+0000
162598113834257_1290671694360221;;"{""count""=>8}";63;0;"[{""name""=>""Length"", ""text""=>""00:59""}]";2017-03-11T17:33:28+0000
162598113834257_1290387334388657;hello;"{""count""=>18}";121;3;"[{""name""=>""Length"", ""text""=>""02:46""}]";2017-03-11T12:45:41+0000
162598113834257_1287848504642540;hello;"{""count""=>19}";84;3;;2017-03-09T18:33:19+0000
162598113834257_1286517568108967;hello;"{""count""=>338}";257;263;;2017-03-08T16:45:05+0000
162598113834257_1286392638121460;hello;"{""count""=>40}";134;2;"[{""name""=>""Length"", ""text""=>""03:55""}]";2017-03-08T14:00:31+0000
162598113834257_1285485118212212;hello;"{""count""=>9}";62;0;;2017-03-07T17:01:04+0000
162598113834257_1284321178328606;hello;"{""count""=>18}";85;0;;2017-03-06T15:00:16+0000
162598113834257_1283494868411237;hello;"{""count""=>46}";268;232;;2017-03-05T17:45:03+0000
162598113834257_1282295691864488;hello;"{""count""=>16}";73;0;;2017-03-04T16:15:08+0000
162598113834257_1281279315299459;hello;"{""count""=>30}";120;3;;2017-03-03T16:45:04+0000
162598113834257_1280400662053991;hello;;10;0;;2017-03-02T19:41:34+0000
162598113834257_1280241058736618;hello;"{""count""=>10}";63;0;;2017-03-02T15:30:08+0000
162598113834257_1279481845479206;hello;"{""count""=>222}";227;58;;2017-03-01T17:01:06+0000
162598113834257_1278679218892802;hello;"{""count""=>46}";92;2;;2017-02-28T19:29:16+0000
162598113834257_1278554708905253;hello;"{""count""=>26}";127;2;;2017-02-28T16:39:51+0000
