ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
305446272970675_730411773807454;hello;"{""count""=>14}";155;6;;2017-05-12T11:52:50+0000
305446272970675_730105670504731;hello;"{""count""=>6}";107;0;;2017-05-11T17:52:15+0000
305446272970675_729991257182839;hello;"{""count""=>6}";177;0;;2017-05-11T13:11:31+0000
305446272970675_729507607231204;hello;"{""count""=>5}";63;1;;2017-05-10T13:56:59+0000
305446272970675_728989100616388;hello;"{""count""=>11}";45;0;"[{""name""=>""Length"", ""text""=>""00:39""}]";2017-05-09T08:43:02+0000
305446272970675_728651403983491;;"{""count""=>7}";77;1;;2017-05-08T16:19:48+0000
305446272970675_728514760663822;hello;"{""count""=>10}";137;0;;2017-05-08T11:46:00+0000
305446272970675_727085864140045;hello;;27;0;;2017-05-05T12:22:05+0000
305446272970675_1055816994552403;hello;;39;0;;2017-05-05T07:28:44+0000
305446272970675_726220710893227;hello;;16;0;;2017-05-03T17:49:00+0000
305446272970675_723697257812239;hello;"{""count""=>2}";7;0;;2017-04-28T12:02:26+0000
305446272970675_723300881185210;hello;"{""count""=>16}";116;3;"[{""name""=>""Length"", ""text""=>""00:15""}]";2017-04-27T18:28:00+0000
305446272970675_723307884517843;hello;"{""count""=>13}";186;2;;2017-04-27T16:44:34+0000
305446272970675_723186021196696;hello;"{""count""=>5}";68;0;;2017-04-27T10:59:50+0000
305446272970675_722788934569738;hello;"{""count""=>13}";186;2;;2017-04-26T16:57:56+0000
305446272970675_722589867922978;hello;"{""count""=>25}";99;1;"[{""name""=>""Length"", ""text""=>""02:19""}]";2017-04-26T09:53:32+0000
305446272970675_722586471256651;;"{""count""=>4}";63;3;"[{""name""=>""Length"", ""text""=>""10:38""}]";2017-04-26T09:39:48+0000
305446272970675_722582647923700;hello;"{""count""=>6}";71;0;"[{""name""=>""Length"", ""text""=>""00:18""}]";2017-04-26T09:32:59+0000
305446272970675_722252341290064;hello;"{""count""=>14}";88;2;"[{""name""=>""Length"", ""text""=>""01:28""}]";2017-04-25T16:27:57+0000
305446272970675_722112287970736;hello;"{""count""=>10}";160;0;;2017-04-25T11:27:15+0000
305446272970675_721670391348259;hello;"{""count""=>21}";133;1;;2017-04-24T16:55:44+0000
305446272970675_721455628036402;;"{""count""=>11}";123;0;;2017-04-24T07:44:35+0000
305446272970675_719555961559702;hello;"{""count""=>3}";18;0;;2017-04-23T10:18:00+0000
305446272970675_719677614880870;hello;"{""count""=>32}";212;6;;2017-04-21T11:08:29+0000
305446272970675_719301814918450;hello;"{""count""=>21}";133;1;;2017-04-20T17:20:45+0000
305446272970675_719153548266610;hello;"{""count""=>20}";115;1;"[{""name""=>""Length"", ""text""=>""00:28""}]";2017-04-20T11:49:26+0000
305446272970675_719104968271468;hello;"{""count""=>5}";67;1;;2017-04-20T09:20:11+0000
305446272970675_718673774981254;hello;"{""count""=>10}";124;0;;2017-04-19T14:50:48+0000
305446272970675_718029335045698;hello;"{""count""=>15}";108;0;;2017-04-18T12:00:53+0000
305446272970675_714782692037029;hello;"{""count""=>12}";94;1;;2017-04-14T10:24:00+0000
305446272970675_714775125371119;hello;"{""count""=>31}";132;2;;2017-04-12T12:09:50+0000
305446272970675_710228452492453;hello;"{""count""=>12}";139;1;;2017-04-05T11:39:00+0000
305446272970675_706114109570554;hello;"{""count""=>18}";168;4;;2017-03-28T11:14:00+0000
305446272970675_703205406528091;hello;"{""count""=>13}";224;2;;2017-03-21T16:19:38+0000
305446272970675_701245236724108;hello;"{""count""=>28}";250;2;;2017-03-17T14:51:39+0000
305446272970675_699773896871242;hello;"{""count""=>14}";72;0;;2017-03-14T17:53:34+0000
305446272970675_697161330465832;hello;"{""count""=>14}";124;0;;2017-03-09T12:17:09+0000
305446272970675_695735077275124;hello;"{""count""=>9}";191;3;;2017-03-06T12:33:01+0000
305446272970675_693979367450695;hello;"{""count""=>11}";128;1;"[{""name""=>""Length"", ""text""=>""00:05""}]";2017-03-02T16:56:53+0000
305446272970675_693914174123881;hello;"{""count""=>23}";224;0;;2017-03-02T13:29:34+0000
305446272970675_692641080917857;hello;"{""count""=>27}";287;2;;2017-02-27T13:59:44+0000
305446272970675_691288834386415;hello;;28;0;"[{""name""=>""Agriculture Company"", ""text""=>""16,008 like this""}]";2017-02-24T13:06:25+0000
305446272970675_690438794471419;hello;"{""count""=>5}";84;0;;2017-02-23T11:48:17+0000
305446272970675_689780351203930;;"{""count""=>18}";303;0;;2017-02-21T11:22:48+0000
305446272970675_687216704793628;hello;"{""count""=>12}";184;0;;2017-02-17T12:24:07+0000
305446272970675_686353071546658;hello;"{""count""=>13}";158;11;;2017-02-16T16:47:39+0000
305446272970675_682964141885551;hello;"{""count""=>23}";226;1;;2017-02-12T11:06:00+0000
305446272970675_683399261842039;hello;"{""count""=>20}";246;1;;2017-02-09T16:01:15+0000
305446272970675_682994575215841;hello;"{""count""=>40}";309;1;;2017-02-08T17:16:12+0000
305446272970675_678518198996812;hello;"{""count""=>12}";180;1;;2017-02-03T12:53:30+0000
