ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
263806340390708_1109896729114994;hello;"{""count""=>11}";329;0;;2017-05-01T07:30:00+0000
263806340390708_1109895385781795;hello;"{""count""=>14}";274;1;;2017-04-28T07:00:00+0000
263806340390708_1096032957168038;hello;"{""count""=>6}";237;0;;2017-04-11T23:56:04+0000
263806340390708_1095073140597353;hello;"{""count""=>4}";198;0;;2017-04-10T23:40:46+0000
263806340390708_1087947694643231;hello;"{""count""=>9}";329;1;;2017-04-04T03:53:34+0000
263806340390708_1082872038484130;hello;"{""count""=>8}";240;0;;2017-03-29T05:28:27+0000
263806340390708_1076928682411799;hello;"{""count""=>6}";173;0;;2017-03-22T02:46:44+0000
263806340390708_1073300519441282;hello;"{""count""=>18}";364;1;;2017-03-17T07:32:21+0000
263806340390708_1072537372850930;hello;"{""count""=>3}";134;0;;2017-03-16T07:29:09+0000
263806340390708_1066032103501457;hello;"{""count""=>6}";162;0;;2017-03-10T06:45:02+0000
263806340390708_1065925063512161;hello;"{""count""=>20}";297;3;;2017-03-09T07:40:34+0000
263806340390708_1064685663636101;hello;"{""count""=>2}";89;0;;2017-03-08T07:42:58+0000
263806340390708_1058529697585031;hello;"{""count""=>2}";116;0;;2017-03-02T08:07:41+0000
263806340390708_1057281307709870;hello;"{""count""=>47}";347;1;"[{""name""=>""Length"", ""text""=>""00:31""}]";2017-03-01T02:44:55+0000
263806340390708_1057113391059995;hello;"{""count""=>6}";166;0;;2017-02-28T23:36:56+0000
263806340390708_1055051397932861;hello;"{""count""=>26}";299;1;"[{""name""=>""Length"", ""text""=>""00:07""}]";2017-02-27T02:51:04+0000
263806340390708_1048557811915553;hello;"{""count""=>13}";208;0;;2017-02-21T07:15:00+0000
263806340390708_1043981935706474;hello;"{""count""=>18}";280;0;;2017-02-17T08:30:00+0000
263806340390708_1043949362376398;hello;"{""count""=>1}";128;0;;2017-02-17T05:59:22+0000
263806340390708_1038500212921313;hello;"{""count""=>28}";339;5;"[{""name""=>""Length"", ""text""=>""01:36""}]";2017-02-10T08:51:00+0000
263806340390708_1032346306870037;hello;"{""count""=>10}";190;1;;2017-02-03T07:40:10+0000
263806340390708_1024085147696153;hello;"{""count""=>343}";958;17;"[{""name""=>""Length"", ""text""=>""01:36""}]";2017-01-27T07:21:00+0000
263806340390708_1015343298570338;hello;"{""count""=>14}";368;3;;2017-01-18T07:23:10+0000
263806340390708_1014639538640714;hello;"{""count""=>4}";120;1;;2017-01-17T07:47:28+0000
263806340390708_1013815912056410;hello;"{""count""=>6}";206;1;;2017-01-16T02:35:00+0000
