ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
180000363439_10154791269248440;;"{""count""=>30}";176;5;;2017-05-12T17:46:27+0000
180000363439_10154772363488440;hello;"{""count""=>98}";485;10;;2017-05-11T15:45:00+0000
180000363439_10154782017948440;hello;"{""count""=>21}";72;0;;2017-05-09T16:30:00+0000
180000363439_10154772361843440;hello;"{""count""=>28}";194;10;;2017-05-08T15:00:00+0000
180000363439_10154769590968440;hello;"{""count""=>66}";236;7;;2017-05-05T16:00:00+0000
180000363439_10154766816843440;hello;"{""count""=>18}";65;0;;2017-05-03T22:25:53+0000
180000363439_10154664385233440;hello;"{""count""=>58}";177;0;;2017-04-28T15:59:00+0000
180000363439_10154664382753440;hello;"{""count""=>54}";277;3;;2017-04-26T16:11:27+0000
180000363439_10154741196033440;hello;"{""count""=>45}";270;8;;2017-04-25T17:30:10+0000
180000363439_10154664382028440;hello;"{""count""=>29}";222;13;;2017-04-24T15:59:00+0000
180000363439_10154664379623440;hello;"{""count""=>45}";324;29;;2017-04-21T15:59:00+0000
180000363439_10154664377328440;hello;"{""count""=>54}";246;7;;2017-04-19T15:59:00+0000
180000363439_10154720746138440;;"{""count""=>57}";382;11;;2017-04-18T17:06:18+0000
180000363439_10154702943503440;hello;"{""count""=>109}";526;6;;2017-04-16T13:00:00+0000
180000363439_10154664376033440;hello;"{""count""=>39}";214;1;;2017-04-14T15:59:00+0000
180000363439_10154705174663440;hello;"{""count""=>50}";517;10;;2017-04-13T17:30:00+0000
180000363439_10154698573378440;hello;"{""count""=>54}";310;6;;2017-04-11T17:37:09+0000
180000363439_10154686534698440;hello;"{""count""=>99}";392;11;;2017-04-07T21:45:14+0000
180000363439_10154664373688440;hello;"{""count""=>68}";293;7;;2017-04-06T15:30:00+0000
180000363439_10154664372723440;hello;"{""count""=>89}";314;5;;2017-04-03T16:30:00+0000
180000363439_10154613820343440;hello;"{""count""=>121}";504;18;;2017-03-31T15:30:00+0000
180000363439_10154613807758440;hello;"{""count""=>89}";385;11;;2017-03-29T17:00:04+0000
180000363439_10154654191088440;hello;"{""count""=>58}";441;3;;2017-03-27T21:13:39+0000
180000363439_10154613804853440;hello;"{""count""=>53}";269;4;;2017-03-22T16:48:19+0000
180000363439_10154613802158440;hello;"{""count""=>107}";290;5;;2017-03-20T15:30:32+0000
180000363439_10154613777798440;hello;"{""count""=>53}";261;9;;2017-03-16T17:00:01+0000
180000363439_10154616652408440;hello;"{""count""=>121}";634;17;;2017-03-14T19:42:29+0000
180000363439_10154613764533440;hello;"{""count""=>76}";341;6;;2017-03-13T20:03:53+0000
180000363439_10154596181328440;hello;"{""count""=>62}";390;4;;2017-03-10T17:00:01+0000
180000363439_10154594914138440;hello;"{""count""=>43}";329;6;;2017-03-08T16:54:39+0000
180000363439_10154591938123440;hello;"{""count""=>56}";330;13;;2017-03-07T21:37:14+0000
180000363439_10154588724773440;hello;"{""count""=>70}";394;10;;2017-03-06T18:45:22+0000
180000363439_10154499899478440;hello;"{""count""=>81}";707;5;;2017-03-03T17:30:01+0000
180000363439_10154576969693440;;"{""count""=>36}";277;7;;2017-03-02T17:51:35+0000
180000363439_10154499898913440;hello;"{""count""=>53}";396;6;;2017-03-01T16:41:56+0000
180000363439_10154560119683440;hello;"{""count""=>41}";157;3;;2017-02-24T16:45:00+0000
180000363439_10154499895498440;hello;"{""count""=>68}";268;5;;2017-02-22T17:36:10+0000
180000363439_10154555397928440;hello;"{""count""=>33}";226;5;;2017-02-21T20:30:22+0000
180000363439_10154541560008440;hello;"{""count""=>75}";722;12;;2017-02-16T19:46:07+0000
180000363439_10154499893138440;hello;"{""count""=>12}";154;2;;2017-02-15T16:34:42+0000
180000363439_10154499910058440;hello;"{""count""=>62}";526;30;;2017-02-14T17:30:00+0000
180000363439_10154499890693440;hello;"{""count""=>90}";496;10;;2017-02-10T16:30:00+0000
180000363439_10154499889528440;hello;"{""count""=>32}";262;1;;2017-02-08T17:00:08+0000
180000363439_10154499887448440;hello;"{""count""=>34}";108;0;;2017-02-06T17:00:07+0000
180000363439_10154499884823440;hello;"{""count""=>46}";242;2;;2017-02-05T19:06:00+0000
180000363439_10154499886083440;;"{""count""=>71}";611;10;;2017-02-03T20:56:53+0000
180000363439_10154413846608440;hello;"{""count""=>65}";434;14;;2017-02-02T16:30:00+0000
180000363439_10154490608908440;hello;"{""count""=>25}";310;8;;2017-01-31T18:32:21+0000
180000363439_10154479520583440;hello;"{""count""=>22}";264;3;;2017-01-27T17:01:19+0000
180000363439_10154413844953440;hello;"{""count""=>80}";390;7;;2017-01-25T17:01:05+0000
