ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
154676874587995_1342459582476379;hello;5;39;1;;2017-04-22T00:00:00+0000
154676874587995_1341247329264271;hello;;12;1;;2017-04-20T03:40:26+0000
154676874587995_1333675346688136;hello;1;7;0;;2017-04-12T23:21:05+0000
154676874587995_1332808390108165;hello;5;52;0;;2017-04-12T06:18:16+0000
154676874587995_1332543093468028;hello;13;50;6;"[{""name""=>""Length"", ""text""=>""04:01""}]";2017-04-12T00:09:15+0000
154676874587995_1327562410632763;hello;3;21;0;;2017-04-07T05:14:05+0000
154676874587995_1326532454069092;hello;1;16;0;;2017-04-06T07:23:27+0000
154676874587995_1304162169639454;hello;6;41;2;;2017-04-04T03:52:00+0000
154676874587995_1324179360971068;hello;2;5;0;;2017-04-03T22:52:12+0000
154676874587995_1304151836307154;hello;6;31;0;;2017-04-02T10:00:00+0000
154676874587995_1320207074701630;hello;1;19;0;;2017-03-31T05:52:00+0000
154676874587995_1320100471378957;hello;5;35;1;;2017-03-31T03:18:24+0000
154676874587995_1319165611472443;hello;5;52;2;;2017-03-30T04:31:37+0000
154676874587995_1318299611559043;hello;;5;0;;2017-03-29T19:00:00+0000
154676874587995_1318280838227587;hello;5;79;3;;2017-03-29T05:15:35+0000
154676874587995_1317099238345747;hello;;4;0;;2017-03-28T00:42:42+0000
154676874587995_1316006421788362;hello;2;11;0;;2017-03-27T05:00:00+0000
154676874587995_1304157106306627;hello;3;33;0;;2017-03-27T02:44:00+0000
154676874587995_1316013195121018;;6;49;0;;2017-03-26T23:39:29+0000
154676874587995_1313167298738941;hello;28;83;9;"[{""name""=>""Length"", ""text""=>""02:09""}]";2017-03-24T06:12:54+0000
154676874587995_1304161352972869;hello;3;43;0;;2017-03-24T02:50:00+0000
154676874587995_1312975045424833;hello;1;22;0;;2017-03-24T00:57:26+0000
154676874587995_1304153959640275;hello;3;43;2;;2017-03-21T02:40:00+0000
154676874587995_1308931745829163;hello;3;35;3;;2017-03-20T02:02:19+0000
154676874587995_1304145706307767;hello;2;23;0;;2017-03-18T02:26:00+0000
154676874587995_1306168539438817;hello;2;31;0;;2017-03-17T05:12:31+0000
154676874587995_1305937066128631;hello;;34;0;;2017-03-16T22:32:49+0000
154676874587995_1304124976309840;hello;10;48;2;;2017-03-15T01:49:12+0000
154676874587995_1303165153072489;hello;19;63;5;;2017-03-14T05:28:01+0000
154676874587995_1303147163074288;hello;4;37;3;;2017-03-14T03:06:49+0000
154676874587995_1295888013800203;hello;2;34;0;;2017-03-08T03:41:09+0000
154676874587995_1289902514398753;hello;1;18;1;;2017-03-05T22:00:00+0000
154676874587995_1289901374398867;hello;1;19;1;;2017-03-03T23:00:00+0000
154676874587995_1289894611066210;hello;1;31;1;;2017-03-03T03:27:32+0000
154676874587995_1288006297921708;hello;7;27;0;"[{""name""=>""Length"", ""text""=>""00:31""}]";2017-03-01T05:31:34+0000
154676874587995_1282635288458809;hello;;34;0;;2017-02-24T03:58:29+0000
154676874587995_1278738512181820;hello;23;59;1;;2017-02-21T04:03:30+0000
154676874587995_1273650872690584;hello;4;37;0;;2017-02-17T00:57:43+0000
154676874587995_1273590492696622;hello;3;41;0;;2017-02-16T23:18:19+0000
154676874587995_1271576392898032;hello;11;40;2;"[{""name""=>""Length"", ""text""=>""00:31""}]";2017-02-15T05:04:15+0000
154676874587995_1270768386312166;hello;1;20;1;;2017-02-14T05:22:13+0000
154676874587995_1267105103345161;hello;13;71;0;;2017-02-09T23:49:38+0000
154676874587995_1258936740828664;hello;6;35;0;;2017-02-02T05:38:49+0000
154676874587995_1257433314312340;hello;15;50;5;"[{""name""=>""Length"", ""text""=>""00:31""}]";2017-02-01T01:27:02+0000
154676874587995_1251005538288451;hello;7;37;0;;2017-01-27T03:51:08+0000
154676874587995_1248474551874883;hello;7;65;1;;2017-01-25T23:10:01+0000
154676874587995_1247062462016092;hello;7;39;1;;2017-01-24T03:09:33+0000
154676874587995_1242966675759004;hello;14;52;2;"[{""name""=>""Length"", ""text""=>""00:31""}]";2017-01-20T04:50:51+0000
154676874587995_1242832192439119;hello;;20;0;;2017-01-20T00:30:03+0000
154676874587995_1241131145942557;hello;10;47;3;;2017-01-19T21:36:01+0000
