ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
232696110078620_1919110371437177;hello;8;41;1;;2017-04-23T10:30:00+0000
232696110078620_1919389524742595;hello;3;13;2;;2017-04-22T16:30:00+0000
232696110078620_1922777064403841;hello;8;31;0;;2017-04-21T12:15:00+0000
232696110078620_1919104328104448;hello;6;37;2;;2017-04-20T17:43:00+0000
232696110078620_1919108328104048;hello;4;74;0;;2017-04-19T18:50:00+0000
232696110078620_1919138358101045;hello;10;42;0;;2017-04-18T18:20:00+0000
232696110078620_1913006065380941;hello;9;131;13;;2017-04-17T15:05:00+0000
232696110078620_1912932258721655;hello;;3;0;;2017-04-16T10:20:00+0000
232696110078620_1912924712055743;hello;3;20;0;;2017-04-15T11:05:00+0000
232696110078620_1912975738717307;hello;5;20;2;;2017-04-14T10:05:00+0000
232696110078620_1912922518722629;hello;5;41;0;;2017-04-13T18:15:00+0000
232696110078620_1911535265528021;hello;9;85;0;;2017-04-12T17:20:00+0000
232696110078620_1910736398941241;hello;22;100;7;;2017-04-11T18:00:00+0000
232696110078620_1909595629055318;hello;5;35;0;;2017-04-10T17:10:00+0000
232696110078620_1904870536194494;hello;3;11;0;"[{""name""=>""Length"", ""text""=>""03:54""}]";2017-04-09T18:10:00+0000
232696110078620_1904865172861697;hello;3;14;4;;2017-04-08T10:30:00+0000
232696110078620_1904851509529730;hello;3;26;2;;2017-04-07T10:30:00+0000
232696110078620_1903775392970675;hello;5;66;3;;2017-04-06T17:05:00+0000
232696110078620_1900679153280299;hello;6;14;0;"[{""name""=>""Length"", ""text""=>""00:09""}]";2017-04-04T17:15:00+0000
232696110078620_1899657453382469;hello;4;37;0;;2017-04-03T19:00:00+0000
232696110078620_1895989043749310;hello;4;15;0;"[{""name""=>""Length"", ""text""=>""02:03""}]";2017-04-01T13:06:00+0000
232696110078620_1895980833750131;hello;61;101;14;"[{""name""=>""Length"", ""text""=>""02:03""}]";2017-04-01T08:00:00+0000
232696110078620_1895999963748218;hello;3;16;0;;2017-03-31T18:09:43+0000
232696110078620_1895205180494363;hello;4;9;0;;2017-03-30T15:15:32+0000
232696110078620_1894236223924592;hello;5;46;1;;2017-03-29T18:15:27+0000
232696110078620_1893170317364516;hello;15;137;1;;2017-03-28T17:45:00+0000
232696110078620_1892179440796937;hello;9;28;0;;2017-03-27T17:55:00+0000
232696110078620_1884015408280007;hello;14;59;0;;2017-03-26T18:30:00+0000
232696110078620_1890020097679538;hello;7;48;0;;2017-03-25T15:42:42+0000
232696110078620_1884016691613212;hello;3;7;0;;2017-03-25T12:00:00+0000
232696110078620_1883983228283225;hello;2;44;6;;2017-03-24T18:05:00+0000
232696110078620_1883981631616718;hello;2;26;0;;2017-03-23T17:20:01+0000
232696110078620_1883980588283489;hello;10;95;3;;2017-03-22T19:10:00+0000
232696110078620_1883973981617483;hello;3;42;7;;2017-03-21T18:30:00+0000
232696110078620_1884122611602620;hello;7;14;1;"[{""name""=>""Length"", ""text""=>""00:09""}]";2017-03-20T12:40:00+0000
232696110078620_1881058558575692;hello;3;31;8;;2017-03-19T13:15:00+0000
232696110078620_1880003968681151;hello;6;53;1;;2017-03-16T18:30:01+0000
232696110078620_1878770075471207;hello;24;43;2;;2017-03-15T18:45:00+0000
232696110078620_1877768032238078;hello;10;70;5;;2017-03-14T19:30:00+0000
232696110078620_1876564739025074;hello;3;19;1;;2017-03-13T11:47:30+0000
232696110078620_1870997739581774;hello;5;63;3;;2017-03-12T19:10:00+0000
232696110078620_1870994722915409;hello;7;59;2;;2017-03-11T11:15:00+0000
232696110078620_1870990679582480;hello;2;28;1;;2017-03-10T18:45:01+0000
232696110078620_1869694106378804;hello;2;7;0;;2017-03-09T19:20:00+0000
232696110078620_1869489829732565;hello;5;32;0;;2017-03-09T11:16:47+0000
232696110078620_1866811296667085;hello;6;41;1;"[{""name""=>""Length"", ""text""=>""01:03""}]";2017-03-08T18:50:00+0000
232696110078620_1867300603284821;hello;4;38;1;;2017-03-07T18:30:52+0000
232696110078620_1865858880095660;hello;4;62;0;;2017-03-06T19:05:02+0000
232696110078620_1861866993828182;hello;4;95;6;;2017-03-05T19:50:00+0000
232696110078620_1863127533702128;hello;5;46;0;;2017-03-04T11:43:40+0000
