ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
305446272970675_719555961559702;hello;1;11;0;;2017-04-23T10:18:00+0000
305446272970675_719677614880870;hello;17;106;2;;2017-04-21T11:08:29+0000
305446272970675_719301814918450;hello;16;88;1;;2017-04-20T17:20:45+0000
305446272970675_719153548266610;hello;19;113;1;"[{""name""=>""Length"", ""text""=>""00:28""}]";2017-04-20T11:49:26+0000
305446272970675_719104968271468;hello;4;65;1;;2017-04-20T09:20:11+0000
305446272970675_718673774981254;hello;9;124;0;;2017-04-19T14:50:48+0000
305446272970675_718029335045698;hello;15;107;0;;2017-04-18T12:00:53+0000
305446272970675_714782692037029;hello;12;94;1;;2017-04-14T10:24:00+0000
305446272970675_714775125371119;hello;31;131;2;;2017-04-12T12:09:50+0000
305446272970675_710228452492453;hello;12;139;1;;2017-04-05T11:39:00+0000
305446272970675_706114109570554;hello;17;168;4;;2017-03-28T11:14:00+0000
305446272970675_703205406528091;hello;13;224;2;;2017-03-21T16:19:38+0000
305446272970675_701245236724108;hello;28;248;2;;2017-03-17T14:51:39+0000
305446272970675_699773896871242;hello;14;72;0;;2017-03-14T17:53:34+0000
305446272970675_697161330465832;hello;14;123;0;;2017-03-09T12:17:09+0000
305446272970675_695735077275124;hello;9;191;3;;2017-03-06T12:33:01+0000
305446272970675_693979367450695;hello;11;127;1;"[{""name""=>""Length"", ""text""=>""00:05""}]";2017-03-02T16:56:53+0000
305446272970675_693914174123881;hello;23;224;0;;2017-03-02T13:29:34+0000
305446272970675_692641080917857;hello;27;286;2;;2017-02-27T13:59:44+0000
305446272970675_691288834386415;hello;;28;0;"[{""name""=>""Agriculture Company"", ""text""=>""16,002 like this""}]";2017-02-24T13:06:25+0000
305446272970675_690438794471419;hello;5;84;0;;2017-02-23T11:48:17+0000
305446272970675_689780351203930;;18;303;0;;2017-02-21T11:22:48+0000
305446272970675_687216704793628;hello;12;184;0;;2017-02-17T12:24:07+0000
305446272970675_686353071546658;hello;13;157;11;;2017-02-16T16:47:39+0000
305446272970675_682964141885551;hello;23;224;1;;2017-02-12T11:06:00+0000
