ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
180000363439_10154664379623440;hello;40;294;25;;2017-04-21T15:59:00+0000
180000363439_10154664377328440;hello;50;233;5;;2017-04-19T15:59:00+0000
180000363439_10154720746138440;;52;365;9;;2017-04-18T17:06:18+0000
180000363439_10154702943503440;hello;107;516;6;;2017-04-16T13:00:00+0000
180000363439_10154664376033440;hello;38;205;0;;2017-04-14T15:59:00+0000
180000363439_10154705174663440;hello;50;498;7;;2017-04-13T17:30:00+0000
180000363439_10154698573378440;hello;54;304;6;;2017-04-11T17:37:09+0000
180000363439_10154686534698440;hello;99;389;11;;2017-04-07T21:45:14+0000
180000363439_10154664373688440;hello;68;288;6;;2017-04-06T15:30:00+0000
180000363439_10154664372723440;hello;71;311;5;;2017-04-03T16:30:00+0000
180000363439_10154613820343440;hello;120;498;18;;2017-03-31T15:30:00+0000
180000363439_10154613807758440;hello;87;379;11;;2017-03-29T17:00:04+0000
180000363439_10154654191088440;hello;58;431;2;;2017-03-27T21:13:39+0000
180000363439_10154613804853440;hello;53;263;3;;2017-03-22T16:48:19+0000
180000363439_10154613802158440;hello;108;287;4;;2017-03-20T15:30:32+0000
180000363439_10154613777798440;hello;53;258;8;;2017-03-16T17:00:01+0000
180000363439_10154616652408440;hello;120;630;17;;2017-03-14T19:42:29+0000
180000363439_10154613764533440;hello;76;336;6;;2017-03-13T20:03:53+0000
180000363439_10154596181328440;hello;62;383;4;;2017-03-10T17:00:01+0000
180000363439_10154594914138440;hello;43;324;5;;2017-03-08T16:54:39+0000
180000363439_10154591938123440;hello;56;326;13;;2017-03-07T21:37:14+0000
180000363439_10154588724773440;hello;70;387;10;;2017-03-06T18:45:22+0000
180000363439_10154499899478440;hello;82;701;5;;2017-03-03T17:30:01+0000
180000363439_10154576969693440;;36;274;6;;2017-03-02T17:51:35+0000
180000363439_10154499898913440;hello;52;393;6;;2017-03-01T16:41:56+0000
180000363439_10154560119683440;hello;41;154;3;;2017-02-24T16:45:00+0000
180000363439_10154499895498440;hello;68;266;4;;2017-02-22T17:36:10+0000
180000363439_10154555397928440;hello;33;223;4;;2017-02-21T20:30:22+0000
180000363439_10154541560008440;hello;74;717;12;;2017-02-16T19:46:07+0000
180000363439_10154499893138440;hello;12;154;2;;2017-02-15T16:34:42+0000
180000363439_10154499910058440;hello;61;521;30;;2017-02-14T17:30:00+0000
180000363439_10154499890693440;hello;89;490;10;;2017-02-10T16:30:00+0000
180000363439_10154499889528440;hello;32;261;1;;2017-02-08T17:00:08+0000
180000363439_10154499887448440;hello;34;106;0;;2017-02-06T17:00:07+0000
180000363439_10154499884823440;hello;46;241;1;;2017-02-05T19:06:00+0000
180000363439_10154499886083440;;71;610;9;;2017-02-03T20:56:53+0000
180000363439_10154413846608440;hello;64;431;14;;2017-02-02T16:30:00+0000
180000363439_10154490608908440;hello;25;307;8;;2017-01-31T18:32:21+0000
180000363439_10154479520583440;hello;22;263;3;;2017-01-27T17:01:19+0000
180000363439_10154413844953440;hello;80;390;7;;2017-01-25T17:01:05+0000
180000363439_10154413844143440;hello;29;292;6;;2017-01-23T19:24:49+0000
180000363439_10154455008148440;hello;209;1231;40;;2017-01-20T15:50:34+0000
180000363439_10154452448618440;;65;913;10;;2017-01-19T16:38:02+0000
180000363439_10154449859158440;hello;57;468;2;;2017-01-18T19:07:15+0000
180000363439_10154413843563440;hello;46;417;11;;2017-01-17T17:29:56+0000
180000363439_10154413829438440;hello;67;369;6;;2017-01-13T19:26:35+0000
180000363439_10154428586393440;hello;18;75;3;;2017-01-11T17:56:55+0000
180000363439_10154413827173440;hello;14;238;0;;2017-01-10T19:50:58+0000
180000363439_10154413825798440;hello;43;325;4;;2017-01-06T16:59:00+0000
180000363439_10154411205393440;hello;23;59;5;;2017-01-04T18:41:11+0000
