ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
219295894796664_1450679958324912;hello;1;42;0;;2017-04-23T12:00:00+0000
219295894796664_1450679421658299;hello;1;29;0;;2017-04-22T12:00:00+0000
219295894796664_1455755244484050;;;116;0;;2017-04-22T07:06:46+0000
219295894796664_1450678731658368;hello;;25;0;;2017-04-21T12:00:00+0000
219295894796664_1450677271658514;hello;1;17;0;;2017-04-20T12:00:00+0000
219295894796664_1452806148112293;hello;45;2504;51;;2017-04-20T03:00:00+0000
219295894796664_1450785164981058;hello;1;99;2;;2017-04-19T12:00:00+0000
219295894796664_1450665041659737;hello;11;183;0;;2017-04-18T12:00:00+0000
219295894796664_1450912024968372;hello;16;131;9;;2017-04-18T06:00:00+0000
219295894796664_1450663344993240;hello;2;77;1;;2017-04-17T06:00:00+0000
219295894796664_1443717889021119;hello;5;20;0;;2017-04-16T06:00:00+0000
219295894796664_1443717325687842;hello;4;38;0;;2017-04-15T12:00:00+0000
219295894796664_1443716612354580;hello;;32;1;;2017-04-14T02:00:00+0000
219295894796664_1443715339021374;hello;2;33;0;;2017-04-13T01:00:00+0000
219295894796664_1443714945688080;hello;;19;0;;2017-04-12T13:30:00+0000
219295894796664_1443750342351207;hello;3;21;0;;2017-04-12T11:10:01+0000
219295894796664_1443731475686427;hello;;31;0;;2017-04-11T12:00:00+0000
219295894796664_1444967035562871;hello;;9;0;;2017-04-11T11:11:13+0000
219295894796664_1443737532352488;hello;11;51;5;;2017-04-11T05:00:00+0000
219295894796664_1443730249019883;hello;3;71;3;;2017-04-10T13:00:00+0000
219295894796664_1440896865969888;hello;;63;0;;2017-04-10T10:00:00+0000
219295894796664_1440895422636699;hello;3;52;1;;2017-04-09T12:00:00+0000
219295894796664_1440879375971637;hello;12;45;1;"[{""name""=>""Length"", ""text""=>""01:16""}]";2017-04-08T05:00:00+0000
219295894796664_1440809775978597;hello;173;6381;310;;2017-04-07T11:00:00+0000
219295894796664_1440591022667139;hello;19;165;10;;2017-04-07T04:00:00+0000
219295894796664_1438325866226988;hello;2;46;0;;2017-04-06T06:00:00+0000
219295894796664_1433283633397878;hello;4;34;0;;2017-04-05T03:00:00+0000
219295894796664_1433280506731524;hello;4;56;0;;2017-04-04T13:00:15+0000
219295894796664_1436227516436823;hello;21;114;0;;2017-04-03T03:29:46+0000
219295894796664_1433271866732388;hello;;23;0;;2017-04-02T06:00:00+0000
219295894796664_1433409980051910;hello;2;63;2;;2017-04-02T01:00:00+0000
219295894796664_1433265483399693;hello;;12;0;;2017-04-01T02:00:00+0000
219295894796664_1431578403568401;hello;2;62;0;;2017-03-30T04:10:26+0000
219295894796664_1431269480265960;hello;2;169;1;;2017-03-29T11:00:18+0000
219295894796664_1429956033730638;hello;1;41;0;;2017-03-28T03:41:31+0000
219295894796664_1429329903793251;hello;2;40;0;;2017-03-27T10:36:44+0000
219295894796664_1426202917439283;hello;1;95;1;;2017-03-27T03:00:00+0000
219295894796664_1428471670545741;hello;;30;0;;2017-03-26T13:29:07+0000
219295894796664_1426376824088559;hello;4;41;0;;2017-03-25T13:00:00+0000
219295894796664_1425602487499326;hello;;38;0;;2017-03-24T12:30:00+0000
219295894796664_1426286950764213;hello;;37;0;;2017-03-24T05:54:46+0000
219295894796664_1425551817504393;hello;2;37;0;;2017-03-23T14:00:00+0000
219295894796664_1425283897531185;hello;1;9;1;;2017-03-23T10:29:57+0000
219295894796664_1425097574216484;hello;;170;3;;2017-03-23T04:45:00+0000
219295894796664_1424362130956695;hello;3;50;1;;2017-03-22T13:10:00+0000
219295894796664_1423969354329306;hello;6;152;2;;2017-03-22T04:11:00+0000
219295894796664_1423031034423138;hello;8;131;3;;2017-03-21T09:20:00+0000
219295894796664_1422405771152331;hello;1;78;3;;2017-03-20T13:00:00+0000
219295894796664_1422242994501942;hello;1;188;5;;2017-03-20T08:16:17+0000
219295894796664_1374009962658579;;5;153;1;;2017-03-20T03:08:12+0000
219295894796664_1420044608055114;hello;;33;0;;2017-03-19T04:00:00+0000
219295894796664_1418348774891364;hello;3;69;0;;2017-03-18T01:48:11+0000
219295894796664_1419445201448388;hello;;128;1;;2017-03-17T12:30:00+0000
219295894796664_1419265614799680;hello;8;108;0;;2017-03-17T04:35:01+0000
219295894796664_1418348004891441;hello;1;72;0;;2017-03-16T10:00:06+0000
219295894796664_1417704501622458;hello;1;149;0;;2017-03-15T13:00:00+0000
219295894796664_1416503678409207;hello;7;71;1;;2017-03-15T04:10:01+0000
219295894796664_1416863168373258;hello;;118;0;;2017-03-14T12:51:42+0000
219295894796664_1416499788409596;hello;1;33;0;;2017-03-14T04:00:02+0000
219295894796664_1415903775135864;hello;6;91;0;"[{""name""=>""Length"", ""text""=>""00:35""}]";2017-03-13T11:39:00+0000
219295894796664_1415701208489454;hello;3;37;13;;2017-03-13T07:48:36+0000
219295894796664_1415699595156282;hello;4;68;0;;2017-03-13T06:15:01+0000
219295894796664_1410204975705744;hello;1;33;0;;2017-03-12T04:30:33+0000
219295894796664_1412867942106114;hello;2;97;0;;2017-03-11T07:00:07+0000
219295894796664_1412806462112262;;2;52;0;;2017-03-11T02:14:17+0000
219295894796664_1411888768870698;hello;3;146;1;;2017-03-10T11:37:10+0000
219295894796664_1411838592209049;;5;72;1;;2017-03-10T10:45:38+0000
219295894796664_1411779735548268;hello;63;1152;21;;2017-03-10T09:21:42+0000
219295894796664_1410203719039203;hello;;56;0;;2017-03-09T09:40:02+0000
219295894796664_1409751825751059;hello;;31;0;;2017-03-09T03:14:45+0000
219295894796664_1408859075840334;hello;3;171;2;;2017-03-08T12:02:08+0000
