ID;MSG;SHARES;LIKES;PROPERTIES;CREATED
431753333699609_603387313202876;The #SuzukiCup is underway at the Pakansari Stadium in Bogor, Indonesia.#Yanmar is also on hand as an Official Sponsor of the tournament to join with the fans in their passionate support of football.Here you can see some of Yanmar's agricultural machinery on display outside the stadium. Before the match, fans had a chance to find out more about the unique features of the equipment and talk to the staff on hand.Find out what makes Yanmar's agricultural equipment the choice of farmers across the region below.https://www.yanmar.com/en_id/…/harvest/combine/aw448tseries/Finally, Yanmar has a long connection with the "beautiful game". You'll be surprised just how long!https://www.yanmar.com/global/about/sports/soccer/;{"count"=>3};{"data"=>[{"id"=>"1449743751986607", "name"=>"Gilbert Quijano"}, {"id"=>"865127883605782", "name"=>"Jayson Balog"}, {"id"=>"1832951800253324", "name"=>"\u0627\u0628\u0648 \u0646\u0627\u0635\u0631 \u0644\u0644\u062A\u062C\u0627\u0631\u0647"}, {"id"=>"224277987983612", "name"=>"\u3054\u3068\u3046 \u3068\u3088\u3072\u308D"}, {"id"=>"753408901404203", "name"=>"Eddie Lorenzo Mora"}, {"id"=>"116231985428310", "name"=>"\u0E8A\u0EB5\u0EA7\u0EB4\u0E94\u0E8D\u0EB1\u0E87\u0E9A\u0ECD\u0EC8\u0EAA\u0EB5\u0EC9 \u0EC0\u0EAE\u0EBB\u0EB2\u0E95\u0EC9\u0EAD\u0E87\u0EAA\u0EB9\u0EC8\u0E8A\u0EBB\u0E99\u0E95\u0ECD\u0EC8\u0EC4\u0E9B"}, {"id"=>"10204551292876793", "name"=>"Gergely Nagy"}, {"id"=>"408339469369892", "name"=>"Putra Lawu"}, {"id"=>"146195525800027", "name"=>"Chris Palomares"}, {"id"=>"552368014893175", "name"=>"Thitiphat Hirunchai"}, {"id"=>"223509444694562", "name"=>"\u5CA9\u4F50\u9686"}, {"id"=>"302882299877578", "name"=>"Yasuyuki  Tanimasa"}, {"id"=>"1462399467409598", "name"=>"Man Rin"}, {"id"=>"983276295100382", "name"=>"Jun Tomita"}, {"id"=>"742841635828312", "name"=>"Izumi Tuyen"}, {"id"=>"764105826965449", "name"=>"Fumie Hashimoto"}, {"id"=>"1118470978275552", "name"=>"Narumi Abe"}, {"id"=>"1845489369009750", "name"=>"Suchart Rachada Love"}, {"id"=>"793553627335210", "name"=>"Mamun AR Rashid"}, {"id"=>"182040088933140", "name"=>"Maricel Vicente Binarao"}, {"id"=>"330473490658163", "name"=>"Saravanan Durai"}, {"id"=>"730631550377538", "name"=>"Tiago Gatti"}, {"id"=>"1685573498337599", "name"=>"Yuri Yuri"}, {"id"=>"998799506813192", "name"=>"Obet Gatchalian"}, {"id"=>"911400788881283", "name"=>"Douglas Leite"}], "paging"=>{"cursors"=>{"before"=>"MTQ0OTc0Mzc1MTk4NjYwNwZDZD", "after"=>"OTExNDAwNzg4ODgxMjgz"}, "next"=>"https://graph.facebook.com/v2.2/431753333699609_603387313202876/likes?access_token=EAACEdEose0cBAAZBHuE2v3R2d9oLhl0um6JUOqQ5l5Y7kQ272kujtQvEdGmHjuFIybTSA7JQ0oN6Jt6bnTQDmk5Vf8kURzesMZAZB8lGmWotfxZC7qUokI98fQDexmqV3gnO1j1ZBCyVcQiW5su052ubj98nvgythxRaSlx9HjkdZBBZAuV8gKj&limit=25&after=OTExNDAwNzg4ODgxMjgz"}};;2016-12-14T12:23:50+0000
431753333699609_603321419876132;Yanmar Coromandel Agrisolutions participated at the National Day Reception at the Japanese Embassy in India on December 7. A total of 13 Japanese companies from various business fields with operations in India were invited to participate in this reception which was held on the embassy grounds in New Delhi. Yanmar Coromandel Agrisolutions displayed one unit each of the AP4 & VP6D Rice Transplanters to the great interest of the gathered crowd.;{"count"=>3};{"data"=>[{"id"=>"1449743751986607", "name"=>"Gilbert Quijano"}, {"id"=>"146195525800027", "name"=>"Chris Palomares"}, {"id"=>"864087300338100", "name"=>"Rajat Chatterjee"}, {"id"=>"983276295100382", "name"=>"Jun Tomita"}, {"id"=>"10203741823722129", "name"=>"Claes Rosenberg"}, {"id"=>"764105826965449", "name"=>"Fumie Hashimoto"}, {"id"=>"182040088933140", "name"=>"Maricel Vicente Binarao"}, {"id"=>"730631550377538", "name"=>"Tiago Gatti"}, {"id"=>"998799506813192", "name"=>"Obet Gatchalian"}, {"id"=>"874349915971156", "name"=>"Md Sharifujjaman Shah"}, {"id"=>"10203785691589958", "name"=>"Dayan Wieliam"}, {"id"=>"10205577625353903", "name"=>"Kaori Katsumata"}, {"id"=>"753408901404203", "name"=>"Eddie Lorenzo Mora"}, {"id"=>"648789478528210", "name"=>"Angelo van der Velden"}, {"id"=>"10204049664232092", "name"=>"Suchada Pratchayathip"}, {"id"=>"742841635828312", "name"=>"Izumi Tuyen"}, {"id"=>"302882299877578", "name"=>"Yasuyuki  Tanimasa"}, {"id"=>"223509444694562", "name"=>"\u5CA9\u4F50\u9686"}, {"id"=>"330473490658163", "name"=>"Saravanan Durai"}, {"id"=>"911400788881283", "name"=>"Douglas Leite"}, {"id"=>"757554817640659", "name"=>"Wasan Naowanat"}, {"id"=>"751751428195584", "name"=>"Alex Ishiwatari"}, {"id"=>"875715339140169", "name"=>"Kiyohiko Kajitsuka"}, {"id"=>"172446606430930", "name"=>"\u52A0\u85E4\u6EAA\u5C71"}, {"id"=>"1547925362161408", "name"=>"Pedro Ferreira"}], "paging"=>{"cursors"=>{"before"=>"MTQ0OTc0Mzc1MTk4NjYwNwZDZD", "after"=>"MTU0NzkyNTM2MjE2MTQwOAZDZD"}}};;2016-12-14T08:53:06+0000
431753333699609_600715773470030;Yanmar President Takehito Yamaoka has been decorated as an Officer of the Order of Orange-Nassau by His Majesty The King of the Netherlands Willem-Alexander.This prestigious award was granted in honor of the company's 28 years of continuous business activities in the Netherlands. Yanmar’s activities include engine assembly and sales at its facility in the city of Almere, as well as its contributions to the local community such as its support for the local football team.On December 8, a ceremony was held at the Tokyo residence of the Netherlands ambassador to Japan where ambassador Aart Jacobi presented the award to Yanmar President Takehito Yamaoka.On land, at sea, and in the city, Yanmar will continue to work in cooperation with the people of the Netherlands towards realizing “A Sustainable Future.” See Yanmar's website for more information:https://www.yanmar.com/global/news/2016/12/09/21038.html;{"count"=>13};{"data"=>[{"id"=>"875715339140169", "name"=>"Kiyohiko Kajitsuka"}, {"id"=>"979891225378070", "name"=>"G\u00FCnter Weckert"}, {"id"=>"648789478528210", "name"=>"Angelo van der Velden"}, {"id"=>"1390324827936079", "name"=>"Ole Harbo Olsen"}, {"id"=>"726011907475674", "name"=>"Sandro Magnani"}, {"id"=>"224277987983612", "name"=>"\u3054\u3068\u3046 \u3068\u3088\u3072\u308D"}, {"id"=>"10154110063068505", "name"=>"Marc Van Der Wurf"}, {"id"=>"10206362291004215", "name"=>"Steinar O. Haltland-Gj\u00F8st\u00F8l"}, {"id"=>"893450100718195", "name"=>"Arjen Barendse"}, {"id"=>"10206001749151140", "name"=>"Mario Dovo"}, {"id"=>"725291070882245", "name"=>"Chisa Iwanaga"}, {"id"=>"10209922993665572", "name"=>"Tom Erik Huuse"}, {"id"=>"10151951919756792", "name"=>"James Forrester"}, {"id"=>"673268236044474", "name"=>"Tilly Dobbe"}, {"id"=>"1739603979601119", "name"=>"Friedrich Marx GmbH & Co. KG"}, {"id"=>"809136309164618", "name"=>"Herman Koster"}, {"id"=>"600551400129025", "name"=>"Theo Bos"}, {"id"=>"675844905796256", "name"=>"Bianca Reijers"}, {"id"=>"1785126125073160", "name"=>"Yusuke Narita"}, {"id"=>"764105826965449", "name"=>"Fumie Hashimoto"}, {"id"=>"534356900072956", "name"=>"Plewern Taenor"}, {"id"=>"10204672991930312", "name"=>"Lars Johansson"}, {"id"=>"10203286208062087", "name"=>"Didier Claudon"}, {"id"=>"463751050394485", "name"=>"Ryo Ueda"}, {"id"=>"834088116638718", "name"=>"Jo Bearing"}], "paging"=>{"cursors"=>{"before"=>"ODc1NzE1MzM5MTQwMTY5", "after"=>"ODM0MDg4MTE2NjM4NzE4"}, "next"=>"https://graph.facebook.com/v2.2/431753333699609_600715773470030/likes?access_token=EAACEdEose0cBAAZBHuE2v3R2d9oLhl0um6JUOqQ5l5Y7kQ272kujtQvEdGmHjuFIybTSA7JQ0oN6Jt6bnTQDmk5Vf8kURzesMZAZB8lGmWotfxZC7qUokI98fQDexmqV3gnO1j1ZBCyVcQiW5su052ubj98nvgythxRaSlx9HjkdZBBZAuV8gKj&limit=25&after=ODM0MDg4MTE2NjM4NzE4"}};;2016-12-09T22:00:00+0000
431753333699609_600598713481736;The Suzuki Cup finals are well under way!Last night the Thailand War Elephants scored a comfortable victory over the Myanmar White Angels to secure a place in the Suzuki Cup finals. This will be Thailand’s third consecutive Suzuki Cup finals, played this year against Indonesia, the surprise package of the tournament!Yanmar Thailand S.P. was on hand at the stadium to share the excitement with the fans. The football-mad Thai crowd showed great interest in Yanmar’s Manchester United tractor with many a “selfy” taken in front of it on the day. Staff were on hand to answer questions about the tractor and share with the crowds in Yanmar’s passion for football.Yanmar is an official sponsor of this year’s Suzuki Cup, but that’s only part of the story… Learn more about Yanmar’s long involvement with the beautiful game below:https://www.yanmar.com/global/about/sports/soccer/Best of luck to both teams in the upcoming finals!;{"count"=>1};{"data"=>[{"id"=>"875715339140169", "name"=>"Kiyohiko Kajitsuka"}, {"id"=>"10205430462580757", "name"=>"Vo Loan"}, {"id"=>"511955455575106", "name"=>"Hirotaka Oyama"}, {"id"=>"397942893695093", "name"=>"\u0E2D\u0E49\u0E27\u0E19 \u0E42\u0E2D\u0E17\u0E39"}, {"id"=>"722752411142312", "name"=>"Richard Nguyen"}, {"id"=>"182040088933140", "name"=>"Maricel Vicente Binarao"}, {"id"=>"860804977335799", "name"=>"Juliana J\u00FA"}, {"id"=>"793553627335210", "name"=>"Mamun AR Rashid"}, {"id"=>"764105826965449", "name"=>"Fumie Hashimoto"}, {"id"=>"10205371268270347", "name"=>"Micha\u0142 Fr\u0105tczak"}, {"id"=>"874349915971156", "name"=>"Md Sharifujjaman Shah"}, {"id"=>"722495754440330", "name"=>"Julie Phuong"}, {"id"=>"10152857024809591", "name"=>"Here Jo"}, {"id"=>"613684612091561", "name"=>"Isao Kai"}, {"id"=>"753408901404203", "name"=>"Eddie Lorenzo Mora"}, {"id"=>"998799506813192", "name"=>"Obet Gatchalian"}, {"id"=>"648789478528210", "name"=>"Angelo van der Velden"}, {"id"=>"742841635828312", "name"=>"Izumi Tuyen"}, {"id"=>"623165527791903", "name"=>"Uy\u1EC3n Mi"}, {"id"=>"534356900072956", "name"=>"Plewern Taenor"}, {"id"=>"223509444694562", "name"=>"\u5CA9\u4F50\u9686"}, {"id"=>"1547925362161408", "name"=>"Pedro Ferreira"}, {"id"=>"116827935413351", "name"=>"Wael Hikaya"}, {"id"=>"537720038", "name"=>"Paul Bartels"}, {"id"=>"1503810159888651", "name"=>"Lylove Ly"}], "paging"=>{"cursors"=>{"before"=>"ODc1NzE1MzM5MTQwMTY5", "after"=>"MTUwMzgxMDE1OTg4ODY1MQZDZD"}, "next"=>"https://graph.facebook.com/v2.2/431753333699609_600598713481736/likes?access_token=EAACEdEose0cBAAZBHuE2v3R2d9oLhl0um6JUOqQ5l5Y7kQ272kujtQvEdGmHjuFIybTSA7JQ0oN6Jt6bnTQDmk5Vf8kURzesMZAZB8lGmWotfxZC7qUokI98fQDexmqV3gnO1j1ZBCyVcQiW5su052ubj98nvgythxRaSlx9HjkdZBBZAuV8gKj&limit=25&after=MTUwMzgxMDE1OTg4ODY1MQZDZD"}};;2016-12-09T07:45:03+0000
431753333699609_600070633534544;YANMAR America exhibited at the 2016 International WorkBoat Show held in New Orleans from November 29-December 1. At this, the year’s largest show for the commercial marine industry, Yanmar displayed its advanced EPA Tier 3 compliant 6AY high-speed common rail engines and IMO Tier 2 compliant high-speed 12AY engines. Over three days at the Morial Convention Center in New Orleans, Yanmar America’s booth saw a constant stream of visitors keen to learn more about the performance and applications of these powerful units.See what else these hard workers can do…https://www.yanmar.com/us/products/marine-engines/commercial-engines/;{"count"=>4};{"data"=>[{"id"=>"875715339140169", "name"=>"Kiyohiko Kajitsuka"}, {"id"=>"725291070882245", "name"=>"Chisa Iwanaga"}, {"id"=>"511955455575106", "name"=>"Hirotaka Oyama"}, {"id"=>"302882299877578", "name"=>"Yasuyuki  Tanimasa"}, {"id"=>"760418517377406", "name"=>"Koji Tashiro"}, {"id"=>"673268236044474", "name"=>"Tilly Dobbe"}, {"id"=>"874349915971156", "name"=>"Md Sharifujjaman Shah"}, {"id"=>"722716567803701", "name"=>"Yasunori Kitano"}, {"id"=>"613684612091561", "name"=>"Isao Kai"}, {"id"=>"998799506813192", "name"=>"Obet Gatchalian"}, {"id"=>"972112299477450", "name"=>"Mike Jong-heun Noh"}, {"id"=>"648789478528210", "name"=>"Angelo van der Velden"}, {"id"=>"793553627335210", "name"=>"Mamun AR Rashid"}, {"id"=>"1462399467409598", "name"=>"Man Rin"}, {"id"=>"748601391881918", "name"=>"\u0E44\u0E1C\u0E48 \u0E1E\u0E38\u0E07\u0E1E\u0E25\u0E38\u0E49\u0E22"}, {"id"=>"742841635828312", "name"=>"Izumi Tuyen"}, {"id"=>"10153789908556963", "name"=>"Manuel Armando Salazar Bravo"}, {"id"=>"764105826965449", "name"=>"Fumie Hashimoto"}, {"id"=>"1117429428308706", "name"=>"Athaullah Kutharathullah"}, {"id"=>"860804977335799", "name"=>"Juliana J\u00FA"}, {"id"=>"758100277571238", "name"=>"Christopher Yabut Barrameda"}, {"id"=>"753408901404203", "name"=>"Eddie Lorenzo Mora"}, {"id"=>"813827045325817", "name"=>"Son Teekay"}, {"id"=>"960507003965189", "name"=>"Pablo Delgadillo"}, {"id"=>"10204049664232092", "name"=>"Suchada Pratchayathip"}], "paging"=>{"cursors"=>{"before"=>"ODc1NzE1MzM5MTQwMTY5", "after"=>"MTAyMDQwNDk2NjQyMzIwOTIZD"}, "next"=>"https://graph.facebook.com/v2.2/431753333699609_600070633534544/likes?access_token=EAACEdEose0cBAAZBHuE2v3R2d9oLhl0um6JUOqQ5l5Y7kQ272kujtQvEdGmHjuFIybTSA7JQ0oN6Jt6bnTQDmk5Vf8kURzesMZAZB8lGmWotfxZC7qUokI98fQDexmqV3gnO1j1ZBCyVcQiW5su052ubj98nvgythxRaSlx9HjkdZBBZAuV8gKj&limit=25&after=MTAyMDQwNDk2NjQyMzIwOTIZD"}};;2016-12-08T20:00:00+0000
431753333699609_598569213684686;The HIMOINSA Racing Team is ready to take on the Dakar Rally, the toughest race in the world. Six riders, six stories, all driven by excitement and the thirst for continuous improvement, to victory.YANMAR and HIMOINSA are united behind the team’s philosophy that energy makes us go beyond our limits to achieve any goal we set.Speed, air and lots of dirt…;{"count"=>17};{"data"=>[{"id"=>"10206231644688743", "name"=>"Robert Mortag"}, {"id"=>"1201166453293600", "name"=>"Lizette Alano Ricachonda"}, {"id"=>"1888350524733509", "name"=>"Gilberto Saito"}, {"id"=>"10211737029851411", "name"=>"Pedro Calle"}, {"id"=>"695585427188371", "name"=>"Madhu Sudhan"}, {"id"=>"875715339140169", "name"=>"Kiyohiko Kajitsuka"}, {"id"=>"10201901733531675", "name"=>"Takeo Matsubara"}, {"id"=>"753408901404203", "name"=>"Eddie Lorenzo Mora"}, {"id"=>"860804977335799", "name"=>"Juliana J\u00FA"}, {"id"=>"1547925362161408", "name"=>"Pedro Ferreira"}, {"id"=>"172446606430930", "name"=>"\u52A0\u85E4\u6EAA\u5C71"}, {"id"=>"10206155651237255", "name"=>"Robert Kj\u00E6rgaard"}, {"id"=>"10206001749151140", "name"=>"Mario Dovo"}, {"id"=>"10204784002574839", "name"=>"Kasey Thren"}, {"id"=>"742841635828312", "name"=>"Izumi Tuyen"}, {"id"=>"10203247610211718", "name"=>"Tsengelmaa Jamiyan"}, {"id"=>"928636190492972", "name"=>"Bilguun Amarsaikhan"}, {"id"=>"983276295100382", "name"=>"Jun Tomita"}, {"id"=>"10152857024809591", "name"=>"Here Jo"}, {"id"=>"751751428195584", "name"=>"Alex Ishiwatari"}, {"id"=>"913953818664098", "name"=>"Kaname Hirose"}, {"id"=>"719818401421759", "name"=>"\u0E0A\u0E32\u0E22 \u0E2D\u0E34\u0E2A\u0E23\u0E30"}, {"id"=>"431753333699609", "name"=>"Yanmar Global"}, {"id"=>"10203785691589958", "name"=>"Dayan Wieliam"}, {"id"=>"10204049664232092", "name"=>"Suchada Pratchayathip"}], "paging"=>{"cursors"=>{"before"=>"MTAyMDYyMzE2NDQ2ODg3NDMZD", "after"=>"MTAyMDQwNDk2NjQyMzIwOTIZD"}, "next"=>"https://graph.facebook.com/v2.2/431753333699609_598569213684686/likes?access_token=EAACEdEose0cBAAZBHuE2v3R2d9oLhl0um6JUOqQ5l5Y7kQ272kujtQvEdGmHjuFIybTSA7JQ0oN6Jt6bnTQDmk5Vf8kURzesMZAZB8lGmWotfxZC7qUokI98fQDexmqV3gnO1j1ZBCyVcQiW5su052ubj98nvgythxRaSlx9HjkdZBBZAuV8gKj&limit=25&after=MTAyMDQwNDk2NjQyMzIwOTIZD"}};[{"name"=>"Length", "text"=>"02:38"}];2016-12-05T11:00:00+0000
431753333699609_596523277222613;Four teams advance to the Suzuki Cup semi-finals!Indonesia, Vietnam, Myanmar and Thailand have made it through the tournament's preliminary rounds and will all advance to the semi-finals of the Suzuki Cup. Held December 3 to 8, the semi-finals will be hosted in each finalist's country, with the two top teams going through to the final.Don't miss this exciting finale to the series!Find out more about the Suzuki Cup here →　https://www.yanmar.com/global/about/sports/soccer/asean_football/;{"count"=>1};{"data"=>[{"id"=>"534356900072956", "name"=>"Plewern Taenor"}, {"id"=>"875715339140169", "name"=>"Kiyohiko Kajitsuka"}, {"id"=>"10152857024809591", "name"=>"Here Jo"}, {"id"=>"960507003965189", "name"=>"Pablo Delgadillo"}, {"id"=>"673268236044474", "name"=>"Tilly Dobbe"}, {"id"=>"10204049664232092", "name"=>"Suchada Pratchayathip"}, {"id"=>"998799506813192", "name"=>"Obet Gatchalian"}, {"id"=>"1547925362161408", "name"=>"Pedro Ferreira"}, {"id"=>"742841635828312", "name"=>"Izumi Tuyen"}, {"id"=>"10204367796668954", "name"=>"Nguyen Thi Tham"}, {"id"=>"751751428195584", "name"=>"Alex Ishiwatari"}], "paging"=>{"cursors"=>{"before"=>"NTM0MzU2OTAwMDcyOTU2", "after"=>"NzUxNzUxNDI4MTk1NTg0"}}};;2016-12-01T09:02:38+0000
431753333699609_595952237279717;The energy workshop was held in Yanmar R&D Europe S.R.L. on 12th, 13th and 14th October. The program covered the following topics:- Share technology information in the Energy field   - Build the network between researchers- Find the seeds for the next projects                The workshop was significant and very enriching for all participants.;{"count"=>3};{"data"=>[{"id"=>"493628330752392", "name"=>"Oleg Anokhin"}, {"id"=>"10203944275506046", "name"=>"Abby Loo"}, {"id"=>"10207420803743409", "name"=>"Piero Danti"}, {"id"=>"10211565979249515", "name"=>"Sonia Fatuzzo"}, {"id"=>"673268236044474", "name"=>"Tilly Dobbe"}, {"id"=>"10207985384295549", "name"=>"Mirko Andre"}, {"id"=>"10204367796668954", "name"=>"Nguyen Thi Tham"}, {"id"=>"603028829792726", "name"=>"Atsushi  Nitta"}, {"id"=>"224277987983612", "name"=>"\u3054\u3068\u3046 \u3068\u3088\u3072\u308D"}, {"id"=>"753408901404203", "name"=>"Eddie Lorenzo Mora"}, {"id"=>"874349915971156", "name"=>"Md Sharifujjaman Shah"}, {"id"=>"10204049664232092", "name"=>"Suchada Pratchayathip"}, {"id"=>"764105826965449", "name"=>"Fumie Hashimoto"}, {"id"=>"998799506813192", "name"=>"Obet Gatchalian"}, {"id"=>"223509444694562", "name"=>"\u5CA9\u4F50\u9686"}, {"id"=>"10204784002574839", "name"=>"Kasey Thren"}, {"id"=>"648789478528210", "name"=>"Angelo van der Velden"}, {"id"=>"633320483457413", "name"=>"Chiemi  Tsujiuchi"}, {"id"=>"726011907475674", "name"=>"Sandro Magnani"}, {"id"=>"10203785691589958", "name"=>"Dayan Wieliam"}, {"id"=>"758665870819002", "name"=>"Son Le"}, {"id"=>"875715339140169", "name"=>"Kiyohiko Kajitsuka"}, {"id"=>"172446606430930", "name"=>"\u52A0\u85E4\u6EAA\u5C71"}, {"id"=>"742841635828312", "name"=>"Izumi Tuyen"}, {"id"=>"116827935413351", "name"=>"Wael Hikaya"}], "paging"=>{"cursors"=>{"before"=>"NDkzNjI4MzMwNzUyMzky", "after"=>"MTE2ODI3OTM1NDEzMzUx"}}};;2016-11-30T08:52:04+0000
431753333699609_595463840661890;The Himoinsa Racing Team supported by Yanmar will launch its challenge for the Dakar Rally, starting off from Paraguay in January, 2017.The race will go through Argentina and Bolivia before returning to Argentina to the capital of Buenos Aires.The Himoinsa Racing Team are in tip top condition and raring to go for next year’s race.Find out more at Yanmar’s news release →　https://www.yanmar.com/global/news/2015/11/16/1224.html;{"count"=>25};{"data"=>[{"id"=>"10206231644688743", "name"=>"Robert Mortag"}, {"id"=>"10205691221790251", "name"=>"John Tops"}, {"id"=>"1087389341294716", "name"=>"Kjell Wiklund"}, {"id"=>"832213080187136", "name"=>"Henrik Wiklund"}, {"id"=>"10206155651237255", "name"=>"Robert Kj\u00E6rgaard"}, {"id"=>"451507608329218", "name"=>"Claudio Raza"}, {"id"=>"1276134742443695", "name"=>"Freek de Jong"}, {"id"=>"10204367796668954", "name"=>"Nguyen Thi Tham"}, {"id"=>"1219298474798977", "name"=>"Edi Mendes"}, {"id"=>"224277987983612", "name"=>"\u3054\u3068\u3046 \u3068\u3088\u3072\u308D"}, {"id"=>"875715339140169", "name"=>"Kiyohiko Kajitsuka"}, {"id"=>"819350061449712", "name"=>"Yuuji Tsujimoto"}, {"id"=>"758665870819002", "name"=>"Son Le"}, {"id"=>"742841635828312", "name"=>"Izumi Tuyen"}, {"id"=>"753408901404203", "name"=>"Eddie Lorenzo Mora"}, {"id"=>"10204273549652941", "name"=>"Guido de Jong"}, {"id"=>"652535684819037", "name"=>"Harry Verbeek"}, {"id"=>"874349915971156", "name"=>"Md Sharifujjaman Shah"}, {"id"=>"10152340389816034", "name"=>"Sean Shohruh"}, {"id"=>"764105826965449", "name"=>"Fumie Hashimoto"}, {"id"=>"1581501615403118", "name"=>"Masami Kawakami"}, {"id"=>"998799506813192", "name"=>"Obet Gatchalian"}, {"id"=>"865127883605782", "name"=>"Jayson Balog"}, {"id"=>"286752628159358", "name"=>"Oda Shinya"}, {"id"=>"10206001749151140", "name"=>"Mario Dovo"}], "paging"=>{"cursors"=>{"before"=>"MTAyMDYyMzE2NDQ2ODg3NDMZD", "after"=>"MTAyMDYwMDE3NDkxNTExNDAZD"}, "next"=>"https://graph.facebook.com/v2.2/431753333699609_595463840661890/likes?access_token=EAACEdEose0cBAAZBHuE2v3R2d9oLhl0um6JUOqQ5l5Y7kQ272kujtQvEdGmHjuFIybTSA7JQ0oN6Jt6bnTQDmk5Vf8kURzesMZAZB8lGmWotfxZC7qUokI98fQDexmqV3gnO1j1ZBCyVcQiW5su052ubj98nvgythxRaSlx9HjkdZBBZAuV8gKj&limit=25&after=MTAyMDYwMDE3NDkxNTExNDAZD"}};;2016-11-29T08:36:47+0000
431753333699609_594830247391916;【EX38A Fishing and Pleasure Boat－Designed for Superior Comfort－】The objective for the EX38A was to provide a higher class of comfort aboard that improved on the previous model. Furthermore, in designing the EX38A, Challenges never attempted before, the conflicting objectives associated with improving on the features required for cabin space by achieving the cruising performance equal to that of a 40-feet boat despite only 38 feet, were selected to be overcome. More details:https://www.yanmar.com/global/technology/technical_review/2016/1027_5.html;;{"data"=>[{"id"=>"646992635427085", "name"=>"Sano  Eiichi"}, {"id"=>"613684612091561", "name"=>"Isao Kai"}, {"id"=>"224277987983612", "name"=>"\u3054\u3068\u3046 \u3068\u3088\u3072\u308D"}, {"id"=>"10204784002574839", "name"=>"Kasey Thren"}, {"id"=>"960507003965189", "name"=>"Pablo Delgadillo"}, {"id"=>"1547925362161408", "name"=>"Pedro Ferreira"}, {"id"=>"742841635828312", "name"=>"Izumi Tuyen"}, {"id"=>"149585932185349", "name"=>"Jaysan K Rkw"}, {"id"=>"860804977335799", "name"=>"Juliana J\u00FA"}, {"id"=>"10204551292876793", "name"=>"Gergely Nagy"}, {"id"=>"10204049664232092", "name"=>"Suchada Pratchayathip"}, {"id"=>"10203785691589958", "name"=>"Dayan Wieliam"}, {"id"=>"758665870819002", "name"=>"Son Le"}], "paging"=>{"cursors"=>{"before"=>"NjQ2OTkyNjM1NDI3MDg1", "after"=>"NzU4NjY1ODcwODE5MDAy"}}};;2016-11-28T07:00:00+0000
