ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
126296050809084_1098837913554888;This is the last week to RSVP for our upcoming Sustainable Energy Tour event in Atlanta on April 28! http://ow.ly/Kbkb30aPx1o;;1;0;;2017-04-18T15:10:20+0000
126296050809084_1094726670632679;YANMAR’s 35 kW Combined Heat and Power system not only offers a streamlined footprint, but also can be installed modularly for even greater heat and power needs. Learn more by checking out our new brochure. http://ow.ly/T3v830aNuVB;"{""count""=>5}";7;0;;2017-04-13T14:01:22+0000
126296050809084_1092820640823282;Always glad to help out! #yanmaramerica;;18;2;;2017-04-11T13:46:21+0000
126296050809084_1088115067960506;YANMAR remanufactured engines are remanned in the USA to the most exacting standards, using genuine YANMAR parts. Each of these parts meets, or often exceeds, the highest current standards. This ensures that YANMAR remanufactured engines will run as well as the original equipment. https://www.yanmar.com/us/products/reman/;;15;0;;2017-04-07T19:35:13+0000
126296050809084_1087266811378665;Come join our Construction Equipment Division, CG Equipment, H. Broer Equipment and York Region Equipment Centre at the 2017 National Heavy Equipment Show. The show runs April 6-7 from 9 am-5 pm at the International Centre in Toronto, ON. Booth 2535! #nationalheavyequipmentshow #yanmaramerica;"{""count""=>4}";15;0;;2017-04-06T19:30:11+0000
126296050809084_1086024678169545;Football is our Engine featuring the New York Red Bull's!;;6;0;;2017-04-05T14:13:43+0000
126296050809084_1085222944916385;Second episode of Rural Lifestyle Dealer's podcast from Bob Clements on creating a high performance sales team.;;3;0;;2017-04-04T14:45:19+0000
126296050809084_1084523501652996;Our natural gas HVAC systems are celebrating 30 years and 300,000 installations this April!;"{""count""=>1}";5;0;;2017-04-03T17:10:19+0000
126296050809084_1082070155231664;Check out our Ask Tractor Mike video from this year's National Farm Machinery Show.;"{""count""=>1}";4;0;;2017-03-31T19:30:41+0000
126296050809084_1081139888658024;If you live in Atlanta and are interested in learning more about our Energy Systems products, we invite you to join us for our Sustainable Energy Tour on Friday, April 28. Click the link below for more details and information on how to RSVP.;"{""count""=>2}";9;0;;2017-03-30T14:50:21+0000
126296050809084_1075781235860556;We are excited to welcome our newest High Speed Commercial marine engine distributor, Antilles Power Depot! They are based in Puerto Rico, but will cover the Caribbean basin for this product line.;;9;0;;2017-03-29T17:05:10+0000
126296050809084_1079738435464836;Day 2 of our 2017 Construction Equipment National Dealer Meeting!;"{""count""=>4}";28;0;;2017-03-28T16:00:40+0000
126296050809084_1079060462199300;Our Construction Equipment Division welcomes our dealers for our 2017 Construction Equipment Division National Dealer Meeting!;;27;0;;2017-03-27T17:58:20+0000
126296050809084_1076688025769877;“The YANMAR CHP systems offer remarkably quiet operation, and are well designed. In the first year of operation, we have not experienced any operational issues.” - Jim Chorba, TUDI Mechanical Systems;"{""count""=>3}";15;0;;2017-03-24T17:25:15+0000
126296050809084_1075789369193076;You deserve the best. Check out our video to learn about the premium features designed into our all new BULL Series UTVs.;"{""count""=>9}";22;0;;2017-03-23T14:40:22+0000
126296050809084_1075178195920860;Increased attendance at the 2017 The Rental Show indicates industry optimism in the Construction Equipment market.;"{""count""=>1}";12;0;;2017-03-22T19:15:26+0000
126296050809084_1074195806019099;National Ag Day recognizes and celebrates the abundance provided by American agriculture. www.agday.com. #AgDay;"{""count""=>8}";14;0;;2017-03-21T12:05:32+0000
126296050809084_1073689579403055;Looking for a new career? Check out current opportunities with YANMAR America.;"{""count""=>5}";18;0;;2017-03-20T18:30:45+0000
126296050809084_1071282162977130;Happy St. Patrick's Day!;"{""count""=>3}";8;0;;2017-03-17T13:40:23+0000
126296050809084_1070725509699462;Our Construction Equipment Division out at the H&E Suwanee Grand Opening! Come by and see us until 3 pm at 745 Brogdon Rd, Suwanee, Ga!;"{""count""=>3}";18;0;;2017-03-16T17:45:52+0000
126296050809084_1069792709792742;"“It works! YANMAR’s 35 kW CHP has exceeded expectations, and the reliability is
great! I love the fact that the unit reports problems even when it is the grid (not the
unit) acting up. The system has protected the building and it tenants during a
couple of blackout situations, and the tenants were grateful that they were able to
continue working and stay warm during a severe storm.” - Al Tellman, President of KI Holdings Inc.";"{""count""=>3}";11;0;;2017-03-15T14:30:49+0000
