ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
425297090970774_791571034343376;"Last Saturday ORACLE TEAM USA capsized during training on Bermuda's Great Sound. The YANMAR chaseboat was there to get the boat rightened within minutes! Luckily there were no injuries and minimal damage to the boat..#YANMAR #chaseboat #OTUSA  #capsize #training #Bermuda";;"{""data""=>[{""id""=>""1622236558040326"", ""name""=>""Denis Cabrera""}, {""id""=>""10203779258745577"", ""name""=>""Maria J. Martin G.""}, {""id""=>""425297090970774"", ""name""=>""YANMAR MARINE INTERNATIONAL""}, {""id""=>""10153425101458530"", ""name""=>""Stephan van Helvoort""}, {""id""=>""893992810663114"", ""name""=>""Juan Antonio Santos Merino""}, {""id""=>""338847883134811"", ""name""=>""Luciano Henrique Strazza""}, {""id""=>""1151561741539298"", ""name""=>""Wataru Masuda""}, {""id""=>""10206118444099356"", ""name""=>""Mauricio Vilches""}, {""id""=>""960507003965189"", ""name""=>""Pablo Delgadillo""}, {""id""=>""10205348795993739"", ""name""=>""Fabio Rossi""}, {""id""=>""10152418440731021"", ""name""=>""Morten-Erik Haugen""}, {""id""=>""1469370676613550"", ""name""=>""Ahmad Teftafeh""}, {""id""=>""312893325777207"", ""name""=>""Roze Loffelt""}], ""paging""=>{""cursors""=>{""before""=>""MTYyMjIzNjU1ODA0MDMyNgZDZD"", ""after""=>""MzEyODkzMzI1Nzc3MjA3""}}}";;;2017-04-13T06:30:17+0000
425297090970774_791154064385073;"Every Easter from 13-17 April sailors get ready for the Spi Ouest-France Regatta. A real treat for anyone who loves a regatta, watch those YANMAR sails in the wind! Good luck Voile Ambition Dunkerque / Team Dunkerque Voile!#poweredbyYANMAR #regatta #YANMAR #SPI";;"{""data""=>[{""id""=>""1622236558040326"", ""name""=>""Denis Cabrera""}, {""id""=>""228388504018184"", ""name""=>""G\u00F6te Dahlqvist""}, {""id""=>""312893325777207"", ""name""=>""Roze Loffelt""}, {""id""=>""893992810663114"", ""name""=>""Juan Antonio Santos Merino""}, {""id""=>""1238396876237475"", ""name""=>""Nord Yachting""}, {""id""=>""10205476169092325"", ""name""=>""Alan C Brown""}, {""id""=>""960507003965189"", ""name""=>""Pablo Delgadillo""}, {""id""=>""1504254403221670"", ""name""=>""Joep Heesters""}, {""id""=>""10205348795993739"", ""name""=>""Fabio Rossi""}, {""id""=>""10204273549652941"", ""name""=>""Guido de Jong""}, {""id""=>""1525351514411169"", ""name""=>""Mikael Lundblad""}, {""id""=>""872343959470184"", ""name""=>""Trudy Eikeren Van""}], ""paging""=>{""cursors""=>{""before""=>""MTYyMjIzNjU1ODA0MDMyNgZDZD"", ""after""=>""ODcyMzQzOTU5NDcwMTg0""}}}";;;2017-04-12T14:38:43+0000
425297090970774_791010247732788;"Another fun day at work! our team had a very successful sea trial with Steeler Yachts Panorama FF53, powered by two mean YANMAR 6LY440 Common Rail Diesel engines and equipped with the easy & smooth JC20 inboard shaft joystick system. #YANMAR #JC20 #docking #YANMARjoystick #dieselengine #commonrail #Steeler #6LY440 #6LY";"{""count""=>5}";"{""data""=>[{""id""=>""870380942974336"", ""name""=>""N\u00E1utica Mart\u00EDnez""}, {""id""=>""10152837320396424"", ""name""=>""Cecilia Costanzi""}, {""id""=>""10153425101458530"", ""name""=>""Stephan van Helvoort""}, {""id""=>""228388504018184"", ""name""=>""G\u00F6te Dahlqvist""}, {""id""=>""1777015932546786"", ""name""=>""\u1780\u17BC\u1793\u1793\u17B6\u1780\u17CB\u179F\u17D2\u179A\u17C2 \u1796\u17B7\u179F\u17B7\u178A\u17D2\u178B""}, {""id""=>""1668692036689083"", ""name""=>""Prasad Rao""}, {""id""=>""893992810663114"", ""name""=>""Juan Antonio Santos Merino""}, {""id""=>""1569853263042124"", ""name""=>""John Farrell""}, {""id""=>""316904601854102"", ""name""=>""Ju Dalcim Dalcim""}, {""id""=>""10203530281119948"", ""name""=>""Angelo Arena""}, {""id""=>""703109093205490"", ""name""=>""Willem Botman""}, {""id""=>""10204297198326014"", ""name""=>""Niels Visser""}, {""id""=>""1489947414666799"", ""name""=>""Fcil Etel""}, {""id""=>""10153195202821135"", ""name""=>""Jurri\u00EBn Jelgerhuis Swildens""}, {""id""=>""960507003965189"", ""name""=>""Pablo Delgadillo""}, {""id""=>""932533410182437"", ""name""=>""Wilma Mennens""}, {""id""=>""886833991335228"", ""name""=>""Laurens Mennens""}, {""id""=>""514358498765986"", ""name""=>""Kunimitsu Ashino""}, {""id""=>""279997662443800"", ""name""=>""Maritza Zambrano""}, {""id""=>""10203779258745577"", ""name""=>""Maria J. Martin G.""}, {""id""=>""1469370676613550"", ""name""=>""Ahmad Teftafeh""}, {""id""=>""878587645557839"", ""name""=>""Tomoko Murata""}, {""id""=>""312893325777207"", ""name""=>""Roze Loffelt""}, {""id""=>""664092733720263"", ""name""=>""Alain Moineau""}, {""id""=>""10152418440731021"", ""name""=>""Morten-Erik Haugen""}], ""paging""=>{""cursors""=>{""before""=>""ODcwMzgwOTQyOTc0MzM2"", ""after""=>""MTAxNTI0MTg0NDA3MzEwMjEZD""}, ""next""=>""https://graph.facebook.com/v2.3/425297090970774_791010247732788/likes?access_token=EAACEdEose0cBAFlqYOZAbnIOg9BN46M09H6xZAuFbVt5VVzwyODuXJMT1RIcMJ4sz9BWXPCxzgTneLdqX84gOfbHVojB8SI19eUa8ZBXjmRoqGNpw1vFlfrTqRAKeueDLMLX2hUqaiqCIT5nQEgGT7y6k0lyNVhlEZBKgRYZAdJZBfRs8H42qpccuZCJI6FNMEYiZAHBZBVa7hwZDZD&limit=25&after=MTAxNTI0MTg0NDA3MzEwMjEZD""}}";;;2017-04-12T10:19:04+0000
425297090970774_787478438085969;Last chance to visit Salon Nautico Argentina until 9th of April! YANMAR is represented by Astillero Regnicoli SA. Come and visit us at stand A06, A07 and A08.;"{""count""=>14}";"{""data""=>[{""id""=>""10207366648107286"", ""name""=>""Andrea Regnicoli""}, {""id""=>""157707351398058"", ""name""=>""\u938C\u5009\u60A0\u4E00""}, {""id""=>""301121416946459"", ""name""=>""Paiboon Thongsuk""}, {""id""=>""279997662443800"", ""name""=>""Maritza Zambrano""}, {""id""=>""764640410354006"", ""name""=>""Shaik Naseer""}, {""id""=>""1014273578586059"", ""name""=>""Hung Tran Thanh""}, {""id""=>""929794673713460"", ""name""=>""Denner Soares Vicentin""}, {""id""=>""1469370676613550"", ""name""=>""Ahmad Teftafeh""}, {""id""=>""484010288402054"", ""name""=>""Ivana Vali\u010Devi\u0107""}, {""id""=>""425297090970774"", ""name""=>""YANMAR MARINE INTERNATIONAL""}, {""id""=>""10155226375255481"", ""name""=>""Yaravis Sandoval""}, {""id""=>""398408060358263"", ""name""=>""Odd Josten""}, {""id""=>""10152852179931287"", ""name""=>""Jessica Stewart""}, {""id""=>""10152837320396424"", ""name""=>""Cecilia Costanzi""}, {""id""=>""514358498765986"", ""name""=>""Kunimitsu Ashino""}, {""id""=>""228388504018184"", ""name""=>""G\u00F6te Dahlqvist""}, {""id""=>""10205476169092325"", ""name""=>""Alan C Brown""}, {""id""=>""893992810663114"", ""name""=>""Juan Antonio Santos Merino""}, {""id""=>""1389419441370553"", ""name""=>""Keep Yachting""}, {""id""=>""181385922040713"", ""name""=>""Yachting R\u00EDo de la Plata""}, {""id""=>""648862985226187"", ""name""=>""Luca Belardinelli""}, {""id""=>""10154032874415110"", ""name""=>""Brigitte Vermeij""}, {""id""=>""338454692865545"", ""name""=>""CACEL""}, {""id""=>""10152418440731021"", ""name""=>""Morten-Erik Haugen""}, {""id""=>""703109093205490"", ""name""=>""Willem Botman""}], ""paging""=>{""cursors""=>{""before""=>""MTAyMDczNjY2NDgxMDcyODYZD"", ""after""=>""NzAzMTA5MDkzMjA1NDkw""}}}";;;2017-04-07T13:05:46+0000
425297090970774_787342631432883;"It's Voice Of The Customer Friday! We would like to share the story of Oda og Snuppa with you. Read how YANMAR helped her on her way in what turns out to be an amazing journey full of rich experiences. #YANMAR #OdaogSnuppa #voiceofthecustomerfriday #marinedieselenging #yanmarmarineinternational";"{""count""=>1}";"{""data""=>[{""id""=>""10152837320396424"", ""name""=>""Cecilia Costanzi""}, {""id""=>""1278536292266384"", ""name""=>""Hiroshi Kawanishi""}, {""id""=>""279997662443800"", ""name""=>""Maritza Zambrano""}, {""id""=>""1014273578586059"", ""name""=>""Hung Tran Thanh""}, {""id""=>""10204104712536385"", ""name""=>""Son Van""}, {""id""=>""929794673713460"", ""name""=>""Denner Soares Vicentin""}, {""id""=>""10203779258745577"", ""name""=>""Maria J. Martin G.""}, {""id""=>""10154032874415110"", ""name""=>""Brigitte Vermeij""}, {""id""=>""312893325777207"", ""name""=>""Roze Loffelt""}], ""paging""=>{""cursors""=>{""before""=>""MTAxNTI4MzczMjAzOTY0MjQZD"", ""after""=>""MzEyODkzMzI1Nzc3MjA3""}}}";;;2017-04-07T13:00:00+0000
425297090970774_786653974835082;"Visit Motorboot Sneek - 7, 8 and 9 April 2017! We will be represented by our dealer Abma's Jachtwerf.Also check our engines installed in Brandsma Jachten BV magnificent boats!#MBSneek17 #YANMAR #dieselengine #poweredbyyanmar";"{""count""=>4}";"{""data""=>[{""id""=>""1525351514411169"", ""name""=>""Mikael Lundblad""}, {""id""=>""10152837320396424"", ""name""=>""Cecilia Costanzi""}, {""id""=>""301121416946459"", ""name""=>""Paiboon Thongsuk""}, {""id""=>""1014273578586059"", ""name""=>""Hung Tran Thanh""}, {""id""=>""10204104712536385"", ""name""=>""Son Van""}, {""id""=>""893450100718195"", ""name""=>""Arjen Yanmar""}, {""id""=>""10155226375255481"", ""name""=>""Yaravis Sandoval""}, {""id""=>""10153233411258654"", ""name""=>""Koray G\u00FCralay""}, {""id""=>""703109093205490"", ""name""=>""Willem Botman""}, {""id""=>""10205476169092325"", ""name""=>""Alan C Brown""}, {""id""=>""893992810663114"", ""name""=>""Juan Antonio Santos Merino""}, {""id""=>""119921491674697"", ""name""=>""John Amis""}, {""id""=>""960507003965189"", ""name""=>""Pablo Delgadillo""}, {""id""=>""1469370676613550"", ""name""=>""Ahmad Teftafeh""}, {""id""=>""1238396876237475"", ""name""=>""Nord Yachting""}, {""id""=>""153459055182055"", ""name""=>""Lilaben Makwana""}, {""id""=>""10152418440731021"", ""name""=>""Morten-Erik Haugen""}, {""id""=>""10152467263037369"", ""name""=>""Asif T\u00E4n\u00E9\u00E9m""}, {""id""=>""226383977802518"", ""name""=>""Boulevard Mariteam""}], ""paging""=>{""cursors""=>{""before""=>""MTUyNTM1MTUxNDQxMTE2OQZDZD"", ""after""=>""MjI2MzgzOTc3ODAyNTE4""}}}";;;2017-04-07T08:30:00+0000
425297090970774_786588154841664;"These power catamarans are powered with dual YANMAR 6LPA-STP engines, delivering a total of 630 hp. With Peter Brady’s design emphasis on long-range cruising, the choice for YANMAR is only natural.Our reliable and fuel efficient engines will take you anywhere.. anytime!  -Read more in the article!-#YANMAR #yanmarmarineinternational #6lp #dieselengine #poweredbyYanmar #bnbfishing #pathfinderpowercats #peterbrady";"{""count""=>9}";"{""data""=>[{""id""=>""10204104712536385"", ""name""=>""Son Van""}, {""id""=>""153459055182055"", ""name""=>""Lilaben Makwana""}, {""id""=>""616735735135219"", ""name""=>""Kallen St\u00F8ldal""}, {""id""=>""279997662443800"", ""name""=>""Maritza Zambrano""}, {""id""=>""410504145798147"", ""name""=>""Marian Machedon""}, {""id""=>""10203779258745577"", ""name""=>""Maria J. Martin G.""}, {""id""=>""446266692202515"", ""name""=>""Thomas Takla""}, {""id""=>""1238396876237475"", ""name""=>""Nord Yachting""}, {""id""=>""10152837320396424"", ""name""=>""Cecilia Costanzi""}, {""id""=>""10202715286139065"", ""name""=>""Jorge Almeida""}, {""id""=>""398408060358263"", ""name""=>""Odd Josten""}, {""id""=>""537720038"", ""name""=>""Paul Bartels""}, {""id""=>""728036417231758"", ""name""=>""David Amaya""}, {""id""=>""514358498765986"", ""name""=>""Kunimitsu Ashino""}, {""id""=>""1469370676613550"", ""name""=>""Ahmad Teftafeh""}, {""id""=>""10152852179931287"", ""name""=>""Jessica Stewart""}, {""id""=>""10205476169092325"", ""name""=>""Alan C Brown""}, {""id""=>""381643198644990"", ""name""=>""Nic Marsden""}, {""id""=>""960507003965189"", ""name""=>""Pablo Delgadillo""}, {""id""=>""119921491674697"", ""name""=>""John Amis""}, {""id""=>""541434219396941"", ""name""=>""Mona Tuania""}, {""id""=>""425297090970774"", ""name""=>""YANMAR MARINE INTERNATIONAL""}, {""id""=>""10152418440731021"", ""name""=>""Morten-Erik Haugen""}, {""id""=>""431584470327735"", ""name""=>""Trine Harfaldet""}, {""id""=>""10206258022920253"", ""name""=>""Sean Schrader""}], ""paging""=>{""cursors""=>{""before""=>""MTAyMDQxMDQ3MTI1MzYzODUZD"", ""after""=>""MTAyMDYyNTgwMjI5MjAyNTMZD""}, ""next""=>""https://graph.facebook.com/v2.3/425297090970774_786588154841664/likes?access_token=EAACEdEose0cBAFlqYOZAbnIOg9BN46M09H6xZAuFbVt5VVzwyODuXJMT1RIcMJ4sz9BWXPCxzgTneLdqX84gOfbHVojB8SI19eUa8ZBXjmRoqGNpw1vFlfrTqRAKeueDLMLX2hUqaiqCIT5nQEgGT7y6k0lyNVhlEZBKgRYZAdJZBfRs8H42qpccuZCJI6FNMEYiZAHBZBVa7hwZDZD&limit=25&after=MTAyMDYyNTgwMjI5MjAyNTMZD""}}";;;2017-04-06T10:43:47+0000
425297090970774_785851704915309;"As you might know YANMAR has always had a strong involvement in soccer. A concept movie was made called ""FOOTBALL IS OUR ENGINE"", featuring some very talented people like Kotaro Tokuda, world champion of the Red Bull Street Style World Final 2012, Juan Ramirez from the Freestyle Crew of YANMAR’s partner: football team New York Red Bulls, as well as DJ Diveny and Victor Miranda also from the NY Red Bulls.Not much to do with boating, but fun to watch nonetheless!#YANMAR #footbalisourengine #Newyorkredbulls #streetsytle #yanmarmarineinternational #kickups #keepieuppie";;"{""data""=>[{""id""=>""153459055182055"", ""name""=>""Lilaben Makwana""}, {""id""=>""10152837320396424"", ""name""=>""Cecilia Costanzi""}, {""id""=>""764640410354006"", ""name""=>""Shaik Naseer""}, {""id""=>""600551400129025"", ""name""=>""Theo Bos""}, {""id""=>""725291070882245"", ""name""=>""Chisa Iwanaga""}, {""id""=>""10152852179931287"", ""name""=>""Jessica Stewart""}, {""id""=>""10205619060109339"", ""name""=>""Biagio Mazz\u00F9""}, {""id""=>""537720038"", ""name""=>""Paul Bartels""}, {""id""=>""960507003965189"", ""name""=>""Pablo Delgadillo""}, {""id""=>""312893325777207"", ""name""=>""Roze Loffelt""}, {""id""=>""10205476169092325"", ""name""=>""Alan C Brown""}, {""id""=>""10154032874415110"", ""name""=>""Brigitte Vermeij""}, {""id""=>""10204104712536385"", ""name""=>""Son Van""}], ""paging""=>{""cursors""=>{""before""=>""MTUzNDU5MDU1MTgyMDU1"", ""after""=>""MTAyMDQxMDQ3MTI1MzYzODUZD""}}}";;;2017-04-05T10:30:39+0000
425297090970774_785187704981709;Yanmar Equipment Iberica represented YANMAR at World Maritime week in Bilbao. Showcasing also the Dtorque diesel outboard engine of which YANMAR is proud to be exclusive distributor!;;"{""data""=>[{""id""=>""153459055182055"", ""name""=>""Lilaben Makwana""}, {""id""=>""893450100718195"", ""name""=>""Arjen Yanmar""}, {""id""=>""696671580513232"", ""name""=>""Ralf Nagel""}, {""id""=>""1014273578586059"", ""name""=>""Hung Tran Thanh""}, {""id""=>""10205476169092325"", ""name""=>""Alan C Brown""}, {""id""=>""10204104712536385"", ""name""=>""Son Van""}, {""id""=>""10206258022920253"", ""name""=>""Sean Schrader""}, {""id""=>""1327479320661649"", ""name""=>""Omar Giua""}, {""id""=>""10207612217488442"", ""name""=>""Julio Arribas""}, {""id""=>""788577904621656"", ""name""=>""Ammie Vella""}, {""id""=>""1413054248715433"", ""name""=>""Armando Petrone""}, {""id""=>""10203488175705947"", ""name""=>""Hans G\u00F6ran Johansson""}, {""id""=>""10203779258745577"", ""name""=>""Maria J. Martin G.""}, {""id""=>""978723362155821"", ""name""=>""Renyk Puello Aquino""}, {""id""=>""764640410354006"", ""name""=>""Shaik Naseer""}, {""id""=>""10208100525450765"", ""name""=>""Mayte C\u00F3rdoba Fuentes""}, {""id""=>""417979698413203"", ""name""=>""Kurt Erik Kjeldsen""}, {""id""=>""10152418440731021"", ""name""=>""Morten-Erik Haugen""}, {""id""=>""1963762567243467"", ""name""=>""Kurt Inge Jensen""}, {""id""=>""929794673713460"", ""name""=>""Denner Soares Vicentin""}, {""id""=>""1178735658906622"", ""name""=>""Joel Campos""}, {""id""=>""228388504018184"", ""name""=>""G\u00F6te Dahlqvist""}, {""id""=>""279997662443800"", ""name""=>""Maritza Zambrano""}, {""id""=>""728036417231758"", ""name""=>""David Amaya""}, {""id""=>""960507003965189"", ""name""=>""Pablo Delgadillo""}], ""paging""=>{""cursors""=>{""before""=>""MTUzNDU5MDU1MTgyMDU1"", ""after""=>""OTYwNTA3MDAzOTY1MTg5""}, ""next""=>""https://graph.facebook.com/v2.3/425297090970774_785187704981709/likes?access_token=EAACEdEose0cBAFlqYOZAbnIOg9BN46M09H6xZAuFbVt5VVzwyODuXJMT1RIcMJ4sz9BWXPCxzgTneLdqX84gOfbHVojB8SI19eUa8ZBXjmRoqGNpw1vFlfrTqRAKeueDLMLX2hUqaiqCIT5nQEgGT7y6k0lyNVhlEZBKgRYZAdJZBfRs8H42qpccuZCJI6FNMEYiZAHBZBVa7hwZDZD&limit=25&after=OTYwNTA3MDAzOTY1MTg5""}}";"{""data""=>[{""created_time""=>""2017-04-04T13:29:22+0000"", ""from""=>{""name""=>""Danny Cisterna"", ""id""=>""1147156372067692""}, ""message""=>""Yo quiero unoooooooo"", ""can_remove""=>false, ""like_count""=>1, ""user_likes""=>false, ""id""=>""785187704981709_785301981636948""}], ""paging""=>{""cursors""=>{""before""=>""WTI5dGJXVnVkRjlqZAFhKemIzSTZAOemcxTXpBeE9UZA3hOak0yT1RRNE9qRTBPVEV6TVRJMU5qST0ZD"", ""after""=>""WTI5dGJXVnVkRjlqZAFhKemIzSTZAOemcxTXpBeE9UZA3hOak0yT1RRNE9qRTBPVEV6TVRJMU5qST0ZD""}}}";;2017-04-04T09:35:29+0000
425297090970774_784526808381132;;"{""count""=>4}";"{""data""=>[{""id""=>""153459055182055"", ""name""=>""Lilaben Makwana""}, {""id""=>""878587645557839"", ""name""=>""Tomoko Murata""}, {""id""=>""537720038"", ""name""=>""Paul Bartels""}, {""id""=>""764640410354006"", ""name""=>""Shaik Naseer""}, {""id""=>""10203779258745577"", ""name""=>""Maria J. Martin G.""}, {""id""=>""929794673713460"", ""name""=>""Denner Soares Vicentin""}, {""id""=>""381643198644990"", ""name""=>""Nic Marsden""}, {""id""=>""10202982268036120"", ""name""=>""Gerard Goosen""}, {""id""=>""1148259195222466"", ""name""=>""Eric Tigelaar""}, {""id""=>""10205348795993739"", ""name""=>""Fabio Rossi""}, {""id""=>""10153399884210336"", ""name""=>""Tone Hits\u00F8y Nilsen""}, {""id""=>""279997662443800"", ""name""=>""Maritza Zambrano""}, {""id""=>""10207612217488442"", ""name""=>""Julio Arribas""}, {""id""=>""10155226375255481"", ""name""=>""Yaravis Sandoval""}, {""id""=>""10152859451238930"", ""name""=>""Berest Thierry""}, {""id""=>""893992810663114"", ""name""=>""Juan Antonio Santos Merino""}, {""id""=>""10206258022920253"", ""name""=>""Sean Schrader""}, {""id""=>""10152852179931287"", ""name""=>""Jessica Stewart""}, {""id""=>""130024320670261"", ""name""=>""Velamotor Nautica""}, {""id""=>""544117752429276"", ""name""=>""Marleen Stienstra""}], ""paging""=>{""cursors""=>{""before""=>""MTUzNDU5MDU1MTgyMDU1"", ""after""=>""NTQ0MTE3NzUyNDI5Mjc2""}}}";;;2017-04-03T07:35:38+0000
