ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
425297090970774_791571034343376;"Last Saturday ORACLE TEAM USA capsized during training on Bermuda's Great Sound. The YANMAR chaseboat was there to get the boat rightened within minutes! Luckily there were no injuries and minimal damage to the boat..#YANMAR #chaseboat #OTUSA  #capsize #training #Bermuda";;13;0;;2017-04-13T06:30:17+0000
425297090970774_791154064385073;"Every Easter from 13-17 April sailors get ready for the Spi Ouest-France Regatta. A real treat for anyone who loves a regatta, watch those YANMAR sails in the wind! Good luck Voile Ambition Dunkerque / Team Dunkerque Voile!#poweredbyYANMAR #regatta #YANMAR #SPI";;12;0;;2017-04-12T14:38:43+0000
425297090970774_791010247732788;"Another fun day at work! our team had a very successful sea trial with Steeler Yachts Panorama FF53, powered by two mean YANMAR 6LY440 Common Rail Diesel engines and equipped with the easy & smooth JC20 inboard shaft joystick system. #YANMAR #JC20 #docking #YANMARjoystick #dieselengine #commonrail #Steeler #6LY440 #6LY";"{""count""=>5}";28;0;;2017-04-12T10:19:04+0000
425297090970774_787478438085969;Last chance to visit Salon Nautico Argentina until 9th of April! YANMAR is represented by Astillero Regnicoli SA. Come and visit us at stand A06, A07 and A08.;"{""count""=>14}";25;0;;2017-04-07T13:05:46+0000
425297090970774_787342631432883;"It's Voice Of The Customer Friday! We would like to share the story of Oda og Snuppa with you. Read how YANMAR helped her on her way in what turns out to be an amazing journey full of rich experiences. #YANMAR #OdaogSnuppa #voiceofthecustomerfriday #marinedieselenging #yanmarmarineinternational";"{""count""=>1}";9;0;;2017-04-07T13:00:00+0000
425297090970774_786653974835082;"Visit Motorboot Sneek - 7, 8 and 9 April 2017! We will be represented by our dealer Abma's Jachtwerf.Also check our engines installed in Brandsma Jachten BV magnificent boats!#MBSneek17 #YANMAR #dieselengine #poweredbyyanmar";"{""count""=>4}";19;0;;2017-04-07T08:30:00+0000
425297090970774_786588154841664;"These power catamarans are powered with dual YANMAR 6LPA-STP engines, delivering a total of 630 hp. With Peter Brady’s design emphasis on long-range cruising, the choice for YANMAR is only natural.Our reliable and fuel efficient engines will take you anywhere.. anytime! -Read more in the article!-#YANMAR #yanmarmarineinternational #6lp #dieselengine #poweredbyYanmar #bnbfishing #pathfinderpowercats #peterbrady";"{""count""=>9}";26;0;;2017-04-06T10:43:47+0000
425297090970774_785851704915309;"As you might know YANMAR has always had a strong involvement in soccer. A concept movie was made called ""FOOTBALL IS OUR ENGINE"", featuring some very talented people like Kotaro Tokuda, world champion of the Red Bull Street Style World Final 2012, Juan Ramirez from the Freestyle Crew of YANMAR’s partner: football team New York Red Bulls, as well as DJ Diveny and Victor Miranda also from the NY Red Bulls.Not much to do with boating, but fun to watch nonetheless!#YANMAR #footbalisourengine #Newyorkredbulls #streetsytle #yanmarmarineinternational #kickups #keepieuppie";;13;0;;2017-04-05T10:30:39+0000
425297090970774_785187704981709;Yanmar Equipment Iberica represented YANMAR at World Maritime week in Bilbao. Showcasing also the Dtorque diesel outboard engine of which YANMAR is proud to be exclusive distributor!;;34;1;;2017-04-04T09:35:29+0000
425297090970774_784526808381132;;"{""count""=>4}";20;0;;2017-04-03T07:35:38+0000
425297090970774_782753841891762;"Taking this sleek and sporty cruiser for a testdrive! It is the first of Vanquish Yachts Q43mk2 series powered by twin YANMAR 8LV370's Sterndrive & YANMAR JC10 Joystick maneuvering system. #testdrive #vanquish #poweredbyYANMAR #joystick #JC10 #YANMAR #8LV #dreamboats";"{""count""=>10}";43;1;;2017-03-31T11:33:11+0000
425297090970774_781957501971396;"YANMAR is happy to become offical technical partner of Thierry Bouchard - Ciela Village ! Powering the multi hull with one of our reliable engines, not used during sailing but vital in order to power the navigation and communication on board or in emergency situations. The Multi50 Ciela Village, a racing trimaran and its skipper Thierry Bouchard, are aiming for the podium finishes of several offshore races: Transat Jacques Vabre 2017 and Route du Rhum 2018 ...!#poweredbyYANMAR #technicalpartner #thierrybouchard #cielavillage #transatjacquesvabre #routedurhum #reliabledieselengine #YANMAR";;55;0;;2017-03-30T06:34:30+0000
