ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
211485338902970_1476621322389359;"As peças originais YANMAR oferecem o mais alto padrão de segurança, qualidade e tecnologia para prolongar a vida útil de sua máquina!Mais informações: www.yanmar.com/br#yanmar60anos #yanmarnobrasil #sempreaoseulado";"{""count""=>5}";19;2;;2017-04-17T13:39:10+0000
211485338902970_1472356839482474;FELIZ PÁSCOA A TODOS!;;15;3;;2017-04-13T10:48:46+0000
211485338902970_1470137933037698;"CONFIRA! YANMAR na RIO BOAT SHOW 2017 Visite o último dia do evento e confira o lançamento dos novos motores YANMAR!Hoje das 15h às 21h.Esperamos você!#yanmar60anos #yanmarnobrasil #sempreaoseulado";"{""count""=>5}";35;1;;2017-04-11T10:18:05+0000
211485338902970_1469188296465995;"Os motores YANMAR possuem um sistema de filtragem extremamente eficiente, que garante bastante durabilidade ao sistema de injeção de combustível como um todo, mas, para isso, é importante que as trocas dos filtros sejam realizadas dentro dos prazos determinados e que sejam utilizados apenas os filtros originais YANMAR que tem capacidade de reter partículas de até 1 mícron, sendo único no Brasil. Para mais informações, acesse: www.yanmar.com/br #yanmar60anos #yanmarnobrasil #sempreaoseulado";"{""count""=>8}";30;1;;2017-04-10T14:03:34+0000
211485338902970_1467368643314627;"RIO BOAT SHOW 2017 A equipe YANMAR está pronta pra te atender em mais um dia de evento! Visite nosso estande e confira o lançamento da nova geração de motores YANMAR. Hoje e amanhã das 12h às 22h Segunda e terça das 15h às 22h Esperamos você!! #yanmar60anos #yanmarnobrasil #sempreaoseulado";"{""count""=>3}";38;1;;2017-04-08T16:29:03+0000
211485338902970_1463240547060770;"COMEÇA AMANHÃ!!! E você é nosso convidado!! Faca-nos uma visita e confira o lançamento da nova geração de motores YANMAR para lancha!! Estaremos localizados no pavilhão, estande P10! Contamos com sua presença! #yanmar60anos #yanmarnobrasil #sempreaoseulado";"{""count""=>5}";22;1;;2017-04-04T20:18:38+0000
211485338902970_1463233017061523;"Clientes prestigiando evento do Manchester United em parceria com YANMAR em São Paulo #yanmar60anos #yanmarnobrasil #sempreaoseulado";;32;2;;2017-04-04T20:04:24+0000
211485338902970_1454985987886226;"Peças originais YANMAR Fique por dentro! #yanmar60anos #yanmarnobrasil #sempreaoseulado";"{""count""=>6}";25;1;;2017-04-03T14:20:00+0000
211485338902970_1454981777886647;"Atender e conquistar a confiança de nossos clientes, mantendo seu equipamento em pleno funcionamento, é o caminho para alcançar seus principais objetivos e resultados no dia a dia. Para isso, a utilização de peças originais é fundamental, pois, com elas, você tem a segurança de estar comprando um item que foi especialmente projetado e recomendado para o seu equipamento YANMAR. Mais informações, acesse: www.yanmar.com/br #yanmar60anos #yanmarnobrasil #sempreaoseulado";"{""count""=>11}";34;1;;2017-03-27T14:06:29+0000
211485338902970_1454803251237833;"RIO BOAT SHOW 2017 Contamos com a sua presença!! #yanmar60anos #yanmarnobrasil #sempreaoseulado";;15;1;;2017-03-27T10:45:41+0000
211485338902970_1449641805087311;"CONTAMOS COM SUA PRESENÇA!!! A YANMAR estará presente em mais uma edição da feira RIO BOAT SHOW no Rio de Janeiro apresentando a nova geração de motores para lancha! Descontos especiais para o evento! Faça-nos uma visita e conheça nossos diferenciais! Mais informações: http://www.rioboatshow.com.br/ #yanmar60anos #yanmarnobrasil #sempreaoseulado";"{""count""=>5}";23;1;;2017-03-22T11:14:39+0000
