ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
813132092154607_1091401297661017;hello;"{""count""=>2}";194;0;;2017-04-19T12:26:23+0000
813132092154607_1091116924356121;hello;"{""count""=>2}";125;1;;2017-04-19T07:15:04+0000
813132092154607_1090547064413107;hello;;685;7;;2017-04-19T02:20:16+0000
813132092154607_1090242907776856;hello;"{""count""=>1}";195;0;;2017-04-18T12:15:08+0000
813132092154607_1090138477787299;hello;;249;3;;2017-04-18T07:15:00+0000
813132092154607_1089590301175450;hello;"{""count""=>2}";265;4;;2017-04-18T02:35:33+0000
813132092154607_1089244947876652;hello;"{""count""=>2}";154;0;;2017-04-17T12:30:14+0000
813132092154607_1089177011216779;hello;"{""count""=>5}";1031;10;;2017-04-17T07:00:00+0000
813132092154607_1088405687960578;hello;"{""count""=>3}";289;6;;2017-04-17T02:20:20+0000
813132092154607_1088319687969178;hello;"{""count""=>3}";137;1;;2017-04-16T12:15:29+0000
813132092154607_1088133711321109;hello;"{""count""=>2}";176;1;;2017-04-16T07:30:24+0000
813132092154607_1087846958016451;hello;"{""count""=>5}";172;0;"[{""name""=>""Length"", ""text""=>""01:27""}]";2017-04-16T01:30:00+0000
813132092154607_1087412431393237;hello;"{""count""=>2}";1312;20;;2017-04-15T12:30:04+0000
813132092154607_1087213744746439;hello;"{""count""=>2}";244;9;;2017-04-15T07:30:44+0000
813132092154607_1086728238128323;hello;;285;7;;2017-04-15T02:30:00+0000
813132092154607_1086349148166232;hello;"{""count""=>2}";800;3;;2017-04-14T12:30:07+0000
813132092154607_1086289444838869;hello;"{""count""=>3}";235;0;;2017-04-14T07:33:16+0000
813132092154607_1085779834889830;hello;"{""count""=>1}";179;1;;2017-04-14T03:30:00+0000
813132092154607_1085772944890519;hello;"{""count""=>2}";63;5;;2017-04-14T01:00:00+0000
813132092154607_1085353294932484;hello;"{""count""=>3}";212;2;"[{""name""=>""Length"", ""text""=>""05:58""}]";2017-04-13T12:40:00+0000
813132092154607_1085196158281531;hello;"{""count""=>2}";254;5;;2017-04-13T07:40:00+0000
813132092154607_1085036291630851;hello;;197;2;;2017-04-13T03:30:40+0000
813132092154607_1084739931660487;hello;;80;2;;2017-04-13T01:00:00+0000
813132092154607_1084405798360567;hello;;125;0;;2017-04-12T12:30:13+0000
813132092154607_1084142335053580;hello;;201;3;;2017-04-12T06:30:29+0000
813132092154607_1084075568393590;hello;"{""count""=>6}";123;2;;2017-04-12T00:52:22+0000
813132092154607_1082379145229899;hello;"{""count""=>11}";231;4;"[{""name""=>""Length"", ""text""=>""02:22""}]";2017-04-11T12:30:00+0000
813132092154607_1083507911783689;hello;"{""count""=>10}";122;1;"[{""name""=>""Length"", ""text""=>""17:24""}]";2017-04-11T10:07:49+0000
813132092154607_1082355285232285;hello;"{""count""=>4}";755;3;;2017-04-11T06:45:00+0000
813132092154607_1082341821900298;hello;"{""count""=>1}";281;1;;2017-04-11T02:00:00+0000
813132092154607_1082211088580038;hello;"{""count""=>1}";169;0;"[{""name""=>""Length"", ""text""=>""04:32""}]";2017-04-10T12:30:00+0000
813132092154607_1082131848587962;hello;"{""count""=>1}";280;6;;2017-04-10T07:00:55+0000
813132092154607_1081655158635631;hello;"{""count""=>11}";1156;8;;2017-04-10T02:30:14+0000
813132092154607_1081216348679512;hello;"{""count""=>2}";96;2;"[{""name""=>""Length"", ""text""=>""04:47""}]";2017-04-09T12:30:00+0000
813132092154607_1081120572022423;hello;;196;1;;2017-04-09T07:15:00+0000
813132092154607_1081192148681932;hello;;63;1;;2017-04-09T04:53:05+0000
813132092154607_1080701485397665;hello;;150;2;;2017-04-09T02:30:24+0000
813132092154607_1080329795434834;hello;;165;2;"[{""name""=>""Length"", ""text""=>""05:07""}]";2017-04-08T12:00:00+0000
813132092154607_1080236565444157;hello;;215;2;;2017-04-08T07:00:00+0000
813132092154607_1080218292112651;hello;;93;1;;2017-04-08T03:29:45+0000
813132092154607_1079737218827425;hello;"{""count""=>2}";211;4;;2017-04-08T02:00:08+0000
813132092154607_1079549998846147;hello;"{""count""=>2}";98;15;;2017-04-07T10:44:00+0000
813132092154607_1079250725542741;hello;;176;1;;2017-04-07T06:00:03+0000
813132092154607_1078324795635334;hello;;178;5;;2017-04-07T02:00:00+0000
813132092154607_1078685372265943;hello;"{""count""=>4}";205;30;;2017-04-06T12:05:00+0000
813132092154607_1078302992304181;hello;"{""count""=>2}";176;0;"[{""name""=>""Length"", ""text""=>""05:22""}]";2017-04-06T07:00:00+0000
813132092154607_1078389335628880;hello;;58;0;;2017-04-06T06:15:04+0000
813132092154607_1078223345645479;hello;"{""count""=>5}";164;0;;2017-04-06T02:33:14+0000
813132092154607_1077338949067252;hello;"{""count""=>1}";174;1;;2017-04-05T07:00:00+0000
813132092154607_1077181615749652;hello;;250;4;;2017-04-05T02:10:06+0000
813132092154607_1076389762495504;hello;"{""count""=>1}";169;2;;2017-04-04T12:10:00+0000
813132092154607_1076171762517304;hello;"{""count""=>1}";252;2;;2017-04-04T07:05:43+0000
813132092154607_1075983759202771;hello;"{""count""=>1}";168;0;;2017-04-04T02:15:12+0000
813132092154607_1075366712597809;hello;;237;3;;2017-04-03T12:00:00+0000
813132092154607_1075359535931860;;"{""count""=>4}";285;6;;2017-04-03T10:42:15+0000
813132092154607_1075201389281008;hello;"{""count""=>3}";188;0;;2017-04-03T07:00:00+0000
813132092154607_1075052072629273;hello;"{""count""=>3}";194;1;;2017-04-03T02:48:42+0000
813132092154607_1074989512635529;;"{""count""=>3}";290;10;;2017-04-03T01:20:56+0000
813132092154607_1074379956029818;hello;"{""count""=>1}";232;5;;2017-04-02T12:00:18+0000
813132092154607_1074279206039893;hello;;193;1;;2017-04-02T07:15:00+0000
813132092154607_1074173779383769;hello;"{""count""=>2}";28;0;"[{""name""=>""Length"", ""text""=>""01:53""}]";2017-04-02T04:16:15+0000
813132092154607_1074051589395988;hello;;222;0;;2017-04-02T02:00:46+0000
813132092154607_1073558369445310;hello;;155;1;"[{""name""=>""Length"", ""text""=>""12:47""}]";2017-04-01T12:00:00+0000
813132092154607_1073534966114317;hello;;14;0;;2017-04-01T10:26:37+0000
813132092154607_1073430746124739;hello;;63;1;;2017-04-01T08:02:07+0000
813132092154607_1073427619458385;hello;"{""count""=>1}";219;0;;2017-04-01T07:59:15+0000
813132092154607_1073165616151252;hello;"{""count""=>1}";210;3;;2017-04-01T02:00:09+0000
813132092154607_1072599012874579;hello;"{""count""=>2}";155;3;;2017-03-31T11:00:00+0000
813132092154607_1072458112888669;hello;;257;2;;2017-03-31T07:00:06+0000
813132092154607_1072363999564747;hello;"{""count""=>4}";228;10;;2017-03-31T04:10:51+0000
813132092154607_1071701066297707;hello;"{""count""=>1}";258;17;;2017-03-30T12:00:00+0000
813132092154607_1071693302965150;hello;"{""count""=>2}";59;0;;2017-03-30T08:51:52+0000
813132092154607_1071656662968814;hello;"{""count""=>4}";292;2;;2017-03-30T07:35:10+0000
813132092154607_1071490649652082;hello;"{""count""=>1}";259;1;;2017-03-30T03:15:00+0000
813132092154607_1070957126372101;hello;"{""count""=>1}";287;0;;2017-03-29T12:00:02+0000
813132092154607_1070832513051229;hello;"{""count""=>3}";243;5;;2017-03-29T07:00:00+0000
813132092154607_1070734413061039;hello;"{""count""=>2}";182;3;;2017-03-29T03:23:36+0000
813132092154607_1070048023129678;hello;"{""count""=>4}";231;2;;2017-03-28T12:00:00+0000
813132092154607_1069858436481970;hello;"{""count""=>1}";216;1;"[{""name""=>""Length"", ""text""=>""01:40""}]";2017-03-28T07:05:00+0000
813132092154607_1069700833164397;hello;"{""count""=>6}";254;2;;2017-03-28T03:36:48+0000
813132092154607_1069097276558086;hello;"{""count""=>1}";207;3;;2017-03-27T12:21:10+0000
813132092154607_1068879239913223;hello;"{""count""=>1}";253;2;;2017-03-27T07:52:40+0000
813132092154607_1068708096597004;hello;;74;0;"[{""name""=>""Length"", ""text""=>""01:33""}]";2017-03-27T05:30:00+0000
813132092154607_1068702083264272;hello;"{""count""=>1}";297;10;;2017-03-27T03:40:21+0000
813132092154607_1067999300001217;hello;"{""count""=>2}";234;2;;2017-03-26T12:00:14+0000
813132092154607_1067887240012423;hello;"{""count""=>4}";240;1;;2017-03-26T07:09:58+0000
813132092154607_1067684353366045;hello;"{""count""=>1}";174;3;;2017-03-26T03:00:36+0000
813132092154607_1067125806755233;hello;"{""count""=>1}";222;0;;2017-03-25T12:30:04+0000
813132092154607_1066900093444471;hello;;32;1;;2017-03-25T09:25:29+0000
813132092154607_1066714916796322;hello;"{""count""=>2}";305;7;;2017-03-25T05:06:11+0000
813132092154607_1066559073478573;hello;"{""count""=>5}";127;0;;2017-03-25T02:00:12+0000
813132092154607_1066043786863435;hello;"{""count""=>1}";141;0;;2017-03-24T12:10:00+0000
813132092154607_1065523566915457;hello;;176;2;;2017-03-24T07:33:36+0000
813132092154607_1065520560249091;hello;"{""count""=>1}";140;2;;2017-03-24T02:30:25+0000
813132092154607_1064989126968901;hello;"{""count""=>1}";223;1;;2017-03-23T12:00:23+0000
813132092154607_1064822096985604;hello;"{""count""=>1}";177;0;;2017-03-23T07:20:30+0000
813132092154607_1064566653677815;hello;"{""count""=>2}";188;2;;2017-03-23T03:00:44+0000
813132092154607_1063855697082244;hello;"{""count""=>2}";155;5;"[{""name""=>""Length"", ""text""=>""15:39""}]";2017-03-22T12:00:00+0000
