ID;MSG;SHARES;LIKES;COMMENTS;PROPERTIES;CREATED
158139660914197_1403992356328915;;;359;0;;2017-05-16T08:48:11+0000
158139660914197_1403973359664148;;;115;0;;2017-05-16T08:05:08+0000
158139660914197_1398568770204607;hello;"{""count""=>58}";1912;6;;2017-05-16T07:00:00+0000
158139660914197_1403941146334036;;;928;0;;2017-05-16T06:47:37+0000
158139660914197_1402896536438497;hello;"{""count""=>435}";6552;71;"[{""name""=>""Length"", ""text""=>""00:11""}]";2017-05-16T03:00:00+0000
158139660914197_1398436166884534;hello;"{""count""=>284}";5550;84;;2017-05-15T12:00:00+0000
158139660914197_1402829603111857;hello;"{""count""=>19}";417;2;;2017-05-15T09:05:00+0000
158139660914197_1402964179765066;;;422;1;;2017-05-15T05:47:04+0000
158139660914197_1402963396431811;;;1307;9;;2017-05-15T05:44:59+0000
158139660914197_1400371826690968;hello;"{""count""=>79}";572;4;;2017-05-14T03:00:00+0000
158139660914197_1377381105656707;hello;"{""count""=>9}";486;1;;2017-05-13T03:00:00+0000
158139660914197_1400312266696924;hello;"{""count""=>7}";483;1;;2017-05-12T12:00:00+0000
158139660914197_1381154211946063;hello;"{""count""=>20}";652;2;;2017-05-12T11:00:00+0000
158139660914197_1398435110217973;hello;"{""count""=>15}";586;7;;2017-05-12T10:00:00+0000
158139660914197_1400233376704813;;;381;0;;2017-05-12T06:00:01+0000
158139660914197_1400207646707386;;;374;0;;2017-05-12T05:30:04+0000
158139660914197_1400077980053686;hello;"{""count""=>71}";1470;30;;2017-05-12T04:40:00+0000
158139660914197_1396744073720410;hello;"{""count""=>79}";1987;26;;2017-05-12T03:00:00+0000
158139660914197_1400085993386218;;;467;0;;2017-05-12T02:16:44+0000
158139660914197_1400045570056927;hello;"{""count""=>50}";1085;3;;2017-05-12T01:06:45+0000
158139660914197_1399324806795670;;;1260;50;;2017-05-11T06:54:34+0000
158139660914197_1399293343465483;;;560;22;;2017-05-11T05:37:12+0000
158139660914197_1399250456803105;;;478;0;;2017-05-11T04:34:40+0000
158139660914197_1399126096815541;hello;"{""count""=>38}";1326;13;;2017-05-11T03:25:00+0000
158139660914197_1399124156815735;;;704;27;;2017-05-11T01:05:53+0000
158139660914197_1397699980291486;hello;"{""count""=>36}";701;1;"[{""name""=>""Length"", ""text""=>""00:16""}]";2017-05-10T22:30:00+0000
158139660914197_1398506740210810;hello;"{""count""=>21}";992;1;;2017-05-10T11:40:00+0000
158139660914197_1398521670209317;;"{""count""=>1}";207;2;;2017-05-10T08:05:21+0000
158139660914197_1398510230210461;;;237;0;;2017-05-10T07:36:34+0000
158139660914197_1396583900403094;hello;"{""count""=>36}";458;0;;2017-05-10T06:00:00+0000
158139660914197_1398279540233530;;"{""count""=>1}";432;2;;2017-05-10T01:33:08+0000
158139660914197_1398271190234365;;;910;25;;2017-05-10T01:17:51+0000
158139660914197_1398256576902493;;;580;1;;2017-05-10T00:51:23+0000
158139660914197_1397488653645952;hello;"{""count""=>19}";395;2;;2017-05-09T12:00:00+0000
158139660914197_1397495293645288;hello;"{""count""=>51}";1646;20;;2017-05-09T10:10:00+0000
158139660914197_1397623146965836;;;562;4;;2017-05-09T07:45:20+0000
158139660914197_1397378583656959;hello;"{""count""=>35}";983;0;;2017-05-09T06:00:00+0000
158139660914197_1396717530389731;;;576;0;;2017-05-08T05:40:27+0000
158139660914197_1396700143724803;;;1394;25;;2017-05-08T04:59:14+0000
158139660914197_1396601590401325;hello;"{""count""=>17}";792;2;;2017-05-08T03:10:00+0000
158139660914197_1396623560399128;;;233;2;;2017-05-08T02:27:45+0000
158139660914197_1396614720400012;;;518;1;;2017-05-08T02:13:07+0000
158139660914197_1396565403738277;;;324;0;;2017-05-08T00:52:26+0000
158139660914197_1380189438709207;hello;"{""count""=>20}";584;6;;2017-05-07T08:00:00+0000
158139660914197_1387936614601156;hello;"{""count""=>27}";1574;6;;2017-05-05T03:00:00+0000
158139660914197_1377378622323622;hello;"{""count""=>46}";1010;13;;2017-05-04T03:00:00+0000
158139660914197_1386873481374136;hello;"{""count""=>30}";1317;9;;2017-05-02T12:10:00+0000
158139660914197_1377371998990951;hello;"{""count""=>21}";1072;1;;2017-05-02T09:00:00+0000
158139660914197_1386997914695026;hello;"{""count""=>8}";407;0;;2017-05-02T08:00:00+0000
158139660914197_1387637671297717;hello;"{""count""=>36}";1691;26;;2017-05-01T06:00:00+0000
158139660914197_1387694007958750;hello;"{""count""=>9}";694;10;;2017-05-01T06:00:00+0000
158139660914197_1377371082324376;hello;"{""count""=>47}";1463;298;;2017-04-29T03:00:00+0000
158139660914197_1381127741948710;hello;"{""count""=>4}";258;0;;2017-04-28T12:00:00+0000
158139660914197_1386835941377890;hello;"{""count""=>4}";406;3;;2017-04-28T10:00:00+0000
158139660914197_1377368205657997;hello;"{""count""=>8}";707;0;;2017-04-28T09:00:00+0000
158139660914197_1387886117939539;;;129;0;;2017-04-28T07:24:07+0000
158139660914197_1387792337948917;;;497;0;;2017-04-28T04:55:09+0000
158139660914197_1387771757950975;;;414;0;;2017-04-28T04:10:07+0000
